model,n_samples,mae,rmse,r2,tolerant_accuracy,tolerance,one_off_accuracy,binary_threshold,binary_accuracy,binary_f1,binary_roc_auc,binary_confusion_matrix,true_mean,pred_mean,age_worst_group_mae,age_gap,gender_worst_group_mae,gender_gap
train-mean constant baseline,15636,0.31236509501301035,0.392701594324263,-0.0391059543042338,0.22269122537733435,0.15,1.0,3.0,0.5395241749808135,0.0,0.5,"[[8436, 0], [7200, 0]]",2.8952097723202863,2.9713920919283416,,,,
ten-seed prediction ensemble (diagnostic),15636,0.2729341352357984,0.3492270020990173,0.1782302771559796,0.35642107955998975,0.15,0.9998720900486058,3.0,0.6572652852391916,0.5107276545238747,0.6911630133422896,"[[7480, 956], [4403, 2797]]",2.8952097723202863,2.8927954788874652,0.32103061633017776,0.12605994326986406,0.27585273307080105,0.008463500695122639
