metric,mean,std,min,median,max
test_mae,0.28327003530328854,0.009005146064872575,0.2724017538845036,0.2809206440370081,0.3001629137175563
test_rmse,0.363090494584904,0.008508639684760027,0.35268561134023435,0.36075970451876427,0.37867617738955855
test_r2,0.11125155484778233,0.042025061925976596,0.03379234640913187,0.12305847906651268,0.16187269731108478
test_age_worst_group_mae,0.32848114481751123,0.013077983857564273,0.3071391745526973,0.3269473314089789,0.34784033576868995
test_age_gap,0.12612084315825173,0.015009637591055077,0.10811179559301787,0.12391284849364592,0.1523364520166534
test_gender_worst_group_mae,0.28866306911127165,0.013059111699854046,0.27457005632710335,0.28462757369774666,0.3144874781521444
test_gender_gap,0.014767246301937481,0.015573490556170334,0.0008602084162346313,0.0097805834913689,0.05377388735120536
