subject_id,samples,true_mean,mean_mae,sd_mae,min_mae,max_mae
group01_subject_15,1116,2.6350806451612905,0.3442793826262156,0.034685320399514864,0.31598198841122316,0.4157555923667005
group03_subject_11,2523,3.162504954419342,0.3374459140696698,0.029180015957785518,0.29246918076898104,0.3812254636570238
group02_subject_20,2459,2.7932086213908094,0.31211313090221626,0.0170097248507908,0.2796872803330082,0.33162696946195686
group02_subject_10,1320,2.8854166666666665,0.29407313854405376,0.014278847796344488,0.2677053428057468,0.3126815974712372
group02_subject_16,2090,2.852392344497608,0.2743041244990518,0.022186895874146274,0.23913888429340563,0.31610631851488324
group01_subject_10,1610,2.8425465838509316,0.25685503724198905,0.03692391829178771,0.2086992867985127,0.3136661196347349
group01_subject_18,1855,2.8776280323450134,0.2504845829729764,0.0217787851491234,0.216560817471733,0.2754221533186674
group02_subject_07,1050,3.0030952380952383,0.24768324749810353,0.02960725850350266,0.21584862391153972,0.3230208530880156
group01_subject_08,1613,2.878642281463112,0.20236030165925945,0.0085102996190915,0.19358078323383177,0.21430778488636903
