run_name,subject_id,samples,mae,true_mean,pred_mean
residual_transformer_fixed_age_split_seed42,group01_subject_08,1613,0.19358078323383177,2.878642281463112,2.8454677826561547
residual_transformer_fixed_age_split_seed42,group01_subject_10,1610,0.2595600984111336,2.8425465838509316,3.0254957643354903
residual_transformer_fixed_age_split_seed42,group01_subject_15,1116,0.354469396307477,2.6350806451612905,2.8698381202622554
residual_transformer_fixed_age_split_seed42,group01_subject_18,1855,0.2754221533186674,2.8776280323450134,2.9231524295241362
residual_transformer_fixed_age_split_seed42,group02_subject_07,1050,0.2304835943948655,3.0030952380952383,3.042114025070554
residual_transformer_fixed_age_split_seed42,group02_subject_10,1320,0.3126815974712372,2.8854166666666665,2.9441911807565977
residual_transformer_fixed_age_split_seed42,group02_subject_16,2090,0.27131769041125287,2.852392344497608,3.0250033359208177
residual_transformer_fixed_age_split_seed42,group02_subject_20,2459,0.3180765066267078,2.7932086213908094,2.7869455262673197
residual_transformer_fixed_age_split_seed42,group03_subject_11,2523,0.292785032750877,3.162504954419342,2.941065374745578
residual_transformer_fixed_age_split_seed100,group01_subject_08,1613,0.1958940923398722,2.878642281463112,2.891303549031626
residual_transformer_fixed_age_split_seed100,group01_subject_10,1610,0.23069957146733444,2.8425465838509316,2.939572614468403
residual_transformer_fixed_age_split_seed100,group01_subject_15,1116,0.32405456184913606,2.6350806451612905,2.822407821814219
residual_transformer_fixed_age_split_seed100,group01_subject_18,1855,0.22465300020181908,2.8776280323450134,2.9047585326706304
residual_transformer_fixed_age_split_seed100,group02_subject_07,1050,0.24772291978200275,3.0030952380952383,3.006721492721921
residual_transformer_fixed_age_split_seed100,group02_subject_10,1320,0.30837408539020655,2.8854166666666665,2.7545345889799524
residual_transformer_fixed_age_split_seed100,group02_subject_16,2090,0.2575728978836936,2.852392344497608,2.8512501877460754
residual_transformer_fixed_age_split_seed100,group02_subject_20,2459,0.29424449087595156,2.7932086213908094,2.7525325665002724
residual_transformer_fixed_age_split_seed100,group03_subject_11,2523,0.3426304868039658,3.162504954419342,2.87747774632545
residual_transformer_fixed_age_split_seed2000,group01_subject_08,1613,0.19550388375203653,2.878642281463112,2.8432547456347566
residual_transformer_fixed_age_split_seed2000,group01_subject_10,1610,0.22774505481956908,2.8425465838509316,2.960282654051455
residual_transformer_fixed_age_split_seed2000,group01_subject_15,1116,0.31598198841122316,2.6350806451612905,2.7658911819526373
residual_transformer_fixed_age_split_seed2000,group01_subject_18,1855,0.275047480513786,2.8776280323450134,2.9079083094378366
residual_transformer_fixed_age_split_seed2000,group02_subject_07,1050,0.24296835558755056,3.0030952380952383,2.916291590872265
residual_transformer_fixed_age_split_seed2000,group02_subject_10,1320,0.2992981892643553,2.8854166666666665,2.929960736361417
residual_transformer_fixed_age_split_seed2000,group02_subject_16,2090,0.23913888429340563,2.852392344497608,2.838860650952353
residual_transformer_fixed_age_split_seed2000,group02_subject_20,2459,0.3280449872484242,2.7932086213908094,2.8959138626100183
residual_transformer_fixed_age_split_seed2000,group03_subject_11,2523,0.3812254636570238,3.162504954419342,2.821016870128981
residual_transformer_fixed_age_split_seed2025,group01_subject_08,1613,0.19372745145571874,2.878642281463112,2.9095416105983425
residual_transformer_fixed_age_split_seed2025,group01_subject_10,1610,0.2086992867985127,2.8425465838509316,2.8673700264522006
residual_transformer_fixed_age_split_seed2025,group01_subject_15,1116,0.32796769116514474,2.6350806451612905,2.8148733514184165
residual_transformer_fixed_age_split_seed2025,group01_subject_18,1855,0.24482894432191257,2.8776280323450134,2.826584173983962
residual_transformer_fixed_age_split_seed2025,group02_subject_07,1050,0.24992941788264683,3.0030952380952383,3.0202604990913753
