model,n_samples,mae,rmse,r2,tolerant_accuracy,tolerance,one_off_accuracy,binary_threshold,binary_accuracy,binary_f1,binary_roc_auc,binary_confusion_matrix,true_mean,pred_mean,age_worst_group_mae,age_gap,gender_worst_group_mae,gender_gap,subject_age_worst_group_mae,subject_age_gap
unregularized residual Transformer,15636,0.2729341352357984,0.3492270020990173,0.1782302771559796,0.35642107955998975,0.15,0.9998720900486058,3.0,0.6572652852391916,0.5107276545238747,0.6911630133422896,"[[7480, 956], [4403, 2797]]",2.8952097723202863,2.8927954788874652,0.32103061633017776,0.12605994326986406,0.27585273307080105,0.008463500695122639,0.3237635724663633,0.12879289940604957
subject-level age MAE-gap regularized residual Transformer,15636,0.2770690842734849,0.3534445945753811,0.15826149784816745,0.352455871066769,0.15,0.9996802251215144,3.0,0.6501662829368124,0.5108209622607762,0.6743305311890838,"[[7310, 1126], [4344, 2856]]",2.8952097723202863,2.902115003597282,0.33055325497092086,0.14562312783238218,0.2789809588853478,0.005544152713480577,0.33023014284899693,0.14530001571045825
