run_seed,attribute,baseline_mae,candidate_mae,overall_mae_gain,baseline_worst_group_mae,candidate_worst_group_mae,worst_group_mae_gain,baseline_gap,candidate_gap,gap_reduction
42,gender,0.2800768563344247,0.29169868102431085,-0.011621824689886151,0.2803734951026734,0.29292000401267665,-0.012546508910003251,0.0008602084162346,0.0018641747604536962,-0.0010039663442190962
42,age_group,0.2800768563344247,0.29169868102431085,-0.011621824689886151,0.3142726490168385,0.34423704427279345,-0.029964395255954956,0.1206918657830067,0.144372848471,-0.02368098268799329
100,gender,0.2724017538845036,0.2872383323250051,-0.014836578440501513,0.2745700563271033,0.29834741185963687,-0.023777355532533573,0.0062877553769454,0.01695642010967413,-0.01066866473272873
100,age_group,0.2724017538845036,0.2872383323250051,-0.014836578440501513,0.3197193854204668,0.3541264646598338,-0.03440707923936698,0.1238252930805945,0.16772624876948977,-0.043900955688895266
2000,gender,0.2854535301861844,0.33105856764191527,-0.04560503745573086,0.2876090784875362,0.3496944405566152,-0.062085362069079,0.0062507702596321,0.054041266486322015,-0.04779049622668992
2000,age_group,0.2854535301861844,0.33105856764191527,-0.04560503745573086,0.3478403357686899,0.3799555566937443,-0.03211522092505442,0.1523364520166534,0.18235558296785603,-0.03001913095120262
2025,gender,0.2817644317395915,0.28489628152854607,-0.003131849788954588,0.2877712891419294,0.29737375574932606,-0.009602466607396665,0.0174189952416461,0.019045078769632517,-0.0016260835279864189
2025,age_group,0.2817644317395915,0.28489628152854607,-0.003131849788954588,0.342429748751289,0.35306038822100255,-0.010630639469713543,0.1487022972955703,0.1410051703929437,0.007697126902626611
2026,gender,0.3001629137175563,0.29032148763510723,0.00984142608244909,0.3069425169865817,0.30667635006968275,0.00026616691689895777,0.0196598436043178,0.024963356992095176,-0.0053035133877773755
2026,age_group,0.3001629137175563,0.29032148763510723,0.00984142608244909,0.3422402779600119,0.3511323280981933,-0.008892050138181395,0.1298040735984067,0.15543436201507582,-0.025630288416669117
2027,gender,0.2959438096565125,0.28970812173047067,0.006235687926041844,0.3144874781521444,0.30126276408634534,0.01322471406579906,0.0537738873512053,0.03350674849340801,0.02026713885779729
2027,age_group,0.2959438096565125,0.28970812173047067,0.006235687926041844,0.3245096124559592,0.3272819936998792,-0.0027723812439199857,0.1102018275695901,0.1349984019073652,-0.0247965743377751
2048,gender,0.2750773461891519,0.2625758166232662,0.012501529565885738,0.2805148226482578,0.2815384330664615,-0.001023610418203702,0.0082995296675691,0.02894372029537312,-0.02064419062780402
2048,age_group,0.2750773461891519,0.2625758166232662,0.012501529565885738,0.3327656014312014,0.31858833221655747,0.014177269214643906,0.1240004039066972,0.13571685319514099,-0.011716449288443787
4096,gender,0.2777625470095566,0.2976694005656102,-0.019906853556053594,0.281646068907957,0.30316798638571335,-0.021521917477756336,0.0112616373151686,0.01594508306437925,-0.0046834457492106515
4096,age_group,0.2777625470095566,0.2976694005656102,-0.019906853556053594,0.3071391745526973,0.32956590969940214,-0.022426735146704846,0.1081117955930178,0.11201303288696449,-0.0039012372939466883
7000,gender,0.2869252434896672,0.2996316400596509,-0.012706396569983736,0.2946744812088802,0.32119191111833123,-0.02651742990945105,0.0224716396471835,0.0625215872169001,-0.040049947569716596
7000,age_group,0.2869252434896672,0.2996316400596509,-0.012706396569983736,0.3249873435469915,0.3799429601354652,-0.0549556165884737,0.1127681030485817,0.17817298116345767,-0.06540487811487597
8192,gender,0.2771319208257367,0.28385116336412153,-0.006719242538384851,0.2780414041496526,0.28795478221542525,-0.009913378065772638,0.0013881961394717,0.011899885823253853,-0.010511689683782154
8192,age_group,0.2771319208257367,0.28385116336412153,-0.006719242538384851,0.3289073192709663,0.3445911951321545,-0.015683875861188246,0.1307663196903985,0.14647938874628413,-0.015713069055885626
