run_name,run_seed,fairness_lambda,best_epoch,num_epochs_run,val_mae,val_rmse,val_r2,val_true_mean,val_pred_mean,val_age_worst_group_mae,val_age_gap,val_gender_worst_group_mae,val_gender_gap,val_subject_age_worst_group_mae,val_subject_age_gap,test_mae,test_rmse,test_r2,test_true_mean,test_pred_mean,test_age_worst_group_mae,test_age_gap,test_gender_worst_group_mae,test_gender_gap,test_subject_age_worst_group_mae,test_subject_age_gap
subject_age_mae_gap_residual_transformer_lambda0p8_seed42,42,0.8,18,25,0.28831962668191885,0.39353100865591695,0.1245838253602286,2.9482362854486284,2.97674653155756,0.3583221654675925,0.11306259891816872,0.29346092287629205,0.013963293073354588,0.35374664263978,0.11195670985085321,0.29169868102431085,0.3683663986930279,0.08568778680155487,2.8952097723202863,2.911737844717719,0.34423704427279345,0.144372848471,0.29292000401267665,0.0018641747604536962,0.3413855136675891,0.14152131786579566
subject_age_mae_gap_residual_transformer_lambda0p8_seed100,100,0.8,6,13,0.2884409528646509,0.37904827351503056,0.1878323348404115,2.9482362854486284,2.934437007543266,0.3249084766371479,0.0626994577628992,0.2889393340629019,0.001353558027068047,0.322788520325944,0.06585741663649902,0.2872383323250051,0.36324053105203724,0.11095630081119712,2.8952097723202863,2.888623744561929,0.3541264646598338,0.16772624876948977,0.29834741185963687,0.01695642010967413,0.3401459424724518,0.15374572658210778
subject_age_mae_gap_residual_transformer_lambda0p8_seed2000,2000,0.8,7,14,0.3047019719994384,0.3998941970130611,0.096044912769228,2.9482362854486284,3.0239924827962072,0.37291397786063285,0.1023821409712628,0.3141798522868869,0.025741061235229346,0.36857539660296507,0.0943502897790856,0.33105856764191527,0.4158516745189488,-0.16522934609233886,2.8952097723202863,2.97832330440005,0.3799555566937443,0.18235558296785603,0.3496944405566152,0.054041266486322015,0.3740384377246071,0.17643846399871882
subject_age_mae_gap_residual_transformer_lambda0p8_seed2025,2025,0.8,3,10,0.28975916190072026,0.380254616755138,0.18265456672084657,2.9482362854486284,2.929035392114031,0.34488191378283783,0.10042519823648452,0.3007321083607088,0.029801525044741484,0.3431668795996554,0.09777824589345471,0.28489628152854607,0.3600666258136708,0.12642490842175214,2.8952097723202863,2.8835648496488258,0.35306038822100255,0.1410051703929437,0.29737375574932606,0.019045078769632517,0.3413000570513342,0.12924483922327534
subject_age_mae_gap_residual_transformer_lambda0p8_seed2026,2026,0.8,6,13,0.2814348136780152,0.38015182271404174,0.1830964121583627,2.9482362854486284,2.9299235427756467,0.3272977973522363,0.08565780627103844,0.2909216856017895,0.02576548170206877,0.3243384128044578,0.07855473548559422,0.29032148763510723,0.36510418082813856,0.10181020435139987,2.8952097723202863,2.9109361646241867,0.3511323280981933,0.15543436201507582,0.30667635006968275,0.024963356992095176,0.34154572475307504,0.14584775866995758
subject_age_mae_gap_residual_transformer_lambda0p8_seed2027,2027,0.8,8,15,0.29858945043405116,0.39205118241104386,0.13115524201434847,2.9482362854486284,2.9502576352939225,0.3619793498914733,0.09706576983583703,0.3063219871215736,0.02100086668543022,0.35955815660970075,0.10067723429626291,0.28970812173047067,0.36794381643637913,0.08778434338588759,2.8952097723202863,2.9462248715606605,0.3272819936998792,0.1349984019073652,0.30126276408634534,0.03350674849340801,0.33780941884159565,0.14552582704908165
subject_age_mae_gap_residual_transformer_lambda0p8_seed2048,2048,0.8,3,10,0.29192132546091454,0.38469876347957227,0.16343781380629951,2.9482362854486284,2.9054647052997438,0.34219187223285863,0.09920112555999364,0.29748001892045633,0.015096906100346419,0.34219187223285863,0.09466730223894615,0.2625758166232662,0.3431589202887616,0.206539905055388,2.8952097723202863,2.8961793918779177,0.31858833221655747,0.13571685319514099,0.2815384330664615,0.02894372029537312,0.3214419147743763,0.1385704357529598
subject_age_mae_gap_residual_transformer_lambda0p8_seed4096,4096,0.8,4,11,0.2986766641941363,0.39148005821498155,0.13368479351616525,2.9482362854486284,2.923393325631644,0.3489222970031593,0.09166361533886719,0.3016014876963901,0.007943554739075653,0.3489222970031593,0.08946612461880837,0.2976694005656102,0.38709730448260415,-0.009659181197493316,2.8952097723202863,2.914727167434844,0.32956590969940214,0.11201303288696449,0.30316798638571335,0.01594508306437925,0.3458586087262567,0.12830573191381903
subject_age_mae_gap_residual_transformer_lambda0p8_seed7000,7000,0.8,3,10,0.3016065990076903,0.3961685327794115,0.11281007087016981,2.9482362854486284,2.889744968344477,0.3457488646946954,0.09189950005699099,0.3081712324536838,0.01782894765445958,0.3457488646946954,0.08825951198288645,0.2996316400596509,0.3952352387499926,-0.052557480836372905,2.8952097723202863,2.809893800325484,0.3799429601354652,0.17817298116345767,0.32119191111833123,0.0625215872169001,0.3619134856678867,0.1601435066958792
subject_age_mae_gap_residual_transformer_lambda0p8_seed8192,8192,0.8,13,20,0.2740844437711353,0.3692955281061403,0.22908810532665747,2.9482362854486284,2.917929681552282,0.3266491761356753,0.08668345256369822,0.279054867510764,0.013499219020128017,0.32410740280440603,0.08387701158046482,0.28385116336412153,0.36616351676408854,0.09659051569102017,2.8952097723202863,2.8809388968212035,0.3445911951321545,0.14647938874628413,0.28795478221542525,0.011899885823253853,0.349761852563462,0.1516500461775916
