run_seed,model,attribute,attention_bin,age_group,n_samples,n_subjects,window_mae,subject_balanced_mae,gender
2000,subject_age_gap,age_group,"(2.5, 3.0]","(22.0, 26.0]",2209,3,0.16631147763263915,0.16247515633733953,
2000,subject_age_gap,age_group,"(2.5, 3.0]","(26.0, 44.0]",1211,1,0.12879257631341257,0.12879257631341257,
2000,subject_age_gap,age_group,"(3.0, 3.5]","(13.0, 20.0]",772,3,0.29664231334943225,0.29705795829033377,
2000,subject_age_gap,age_group,"(3.0, 3.5]","(20.0, 22.0]",512,2,0.3282040203921497,0.3025122492456994,
2000,subject_age_gap,age_group,"(3.0, 3.5]","(22.0, 26.0]",1509,3,0.3767800217357355,0.37077764952354636,
2000,subject_age_gap,age_group,"(3.0, 3.5]","(26.0, 44.0]",162,1,0.289577841758728,0.289577841758728,
2000,subject_age_gap,age_group,"(3.5, 4.75]","(13.0, 20.0]",202,3,0.3064420128812884,0.3937175674916895,
2000,subject_age_gap,age_group,"(3.5, 4.75]","(20.0, 22.0]",38,2,0.5269170811301783,0.5269170811301783,
2000,subject_age_gap,age_group,"(3.5, 4.75]","(22.0, 26.0]",488,3,0.7706440350071329,0.7753740179213837,
2000,subject_age_gap,age_group,"(3.5, 4.75]","(26.0, 44.0]",35,1,0.5432000841413226,0.5432000841413226,
2000,subject_age_gap,gender,"(1.999, 2.5]",,2075,6,0.4621218474514513,0.49400694852709764,female
2000,subject_age_gap,gender,"(1.999, 2.5]",,1710,3,0.4441886317660237,0.4661313408493437,male
2000,subject_age_gap,gender,"(2.5, 3.0]",,5504,6,0.28866165794085624,0.26961789487277943,female
2000,subject_age_gap,gender,"(2.5, 3.0]",,2629,3,0.1444051690136085,0.14867538149500023,male
2000,subject_age_gap,gender,"(3.0, 3.5]",,2170,6,0.33931278006821736,0.31244265041915026,female
2000,subject_age_gap,gender,"(3.0, 3.5]",,785,3,0.3518627449205727,0.3411510870589552,male
2000,subject_age_gap,gender,"(3.5, 4.75]",,495,6,0.6025545809004041,0.5381452132623875,female
2000,subject_age_gap,gender,"(3.5, 4.75]",,268,3,0.6669623513719929,0.6251459076888579,male
2025,subject_age_gap,age_group,"(1.999, 2.5]","(13.0, 20.0]",1025,3,0.4146930229373095,0.40781812259739225,
2025,subject_age_gap,age_group,"(1.999, 2.5]","(20.0, 22.0]",663,2,0.4880835711506517,0.4926945634728648,
2025,subject_age_gap,age_group,"(1.999, 2.5]","(22.0, 26.0]",1892,3,0.39020081012495983,0.33637687805708927,
2025,subject_age_gap,age_group,"(1.999, 2.5]","(26.0, 44.0]",205,1,0.32735900413699265,0.32735900413699265,
2025,subject_age_gap,age_group,"(2.5, 3.0]","(13.0, 20.0]",2996,3,0.15279838749181443,0.15081300698966787,
2025,subject_age_gap,age_group,"(2.5, 3.0]","(20.0, 22.0]",1717,2,0.12861510675593593,0.1302913757048605,
2025,subject_age_gap,age_group,"(2.5, 3.0]","(22.0, 26.0]",2209,3,0.1620892752020971,0.15399589255061708,
2025,subject_age_gap,age_group,"(2.5, 3.0]","(26.0, 44.0]",1211,1,0.1340005807301705,0.1340005807301705,
2025,subject_age_gap,age_group,"(3.0, 3.5]","(13.0, 20.0]",772,3,0.31365174981596555,0.313558486712632,
2025,subject_age_gap,age_group,"(3.0, 3.5]","(20.0, 22.0]",512,2,0.3220955077558756,0.3277700015059017,
2025,subject_age_gap,age_group,"(3.0, 3.5]","(22.0, 26.0]",1509,3,0.43437312816925755,0.3906862182579976,
2025,subject_age_gap,age_group,"(3.0, 3.5]","(26.0, 44.0]",162,1,0.5161830142692283,0.5161830142692283,
2025,subject_age_gap,age_group,"(3.5, 4.75]","(13.0, 20.0]",202,3,0.4791025537075383,0.5967008700615929,
2025,subject_age_gap,age_group,"(3.5, 4.75]","(20.0, 22.0]",38,2,0.7506398464504042,0.750639846450404,
2025,subject_age_gap,age_group,"(3.5, 4.75]","(22.0, 26.0]",488,3,0.8220861788655891,0.8820902969793014,
2025,subject_age_gap,age_group,"(3.5, 4.75]","(26.0, 44.0]",35,1,0.8297176837921143,0.8297176837921143,
2025,subject_age_gap,gender,"(1.999, 2.5]",,2075,6,0.39778391861053836,0.3719473758292822,female
2025,subject_age_gap,gender,"(1.999, 2.5]",,1710,3,0.4260974582872893,0.43788295935682436,male
2025,subject_age_gap,gender,"(2.5, 3.0]",,5504,6,0.15360883051572843,0.15083083176469195,female
