run_seed,baseline_subject_age_worst_group_mae,candidate_subject_age_worst_group_mae,subject_age_worst_group_gain,baseline_subject_age_gap,candidate_subject_age_gap,subject_age_gap_reduction,baseline_subject_age_mae_per_group
42,0.32177697856168724,0.3413855136675891,-0.01960853510590188,0.12819619532785553,0.14152131786579566,-0.013325122537940132,"{Interval(13, 20, closed='right'): 0.25907447937492856, Interval(20, 22, closed='right'): 0.2861208479411854, Interval(22, 26, closed='right'): 0.32177697856168724, Interval(26, 44, closed='right'): 0.1935807832338317}"
100,0.32030984650968447,0.3401459424724518,-0.01983609596276731,0.12441575416981226,0.15374572658210778,-0.029329972412295513,"{Interval(13, 20, closed='right'): 0.2433162726225051, Interval(20, 22, closed='right'): 0.26953682842877047, Interval(22, 26, closed='right'): 0.32030984650968447, Interval(26, 44, closed='right'): 0.1958940923398722}"
2000,0.34175081310555705,0.3740384377246071,-0.03228762461905005,0.14624692935352054,0.17643846399871882,-0.030191534645198276,"{Interval(13, 20, closed='right'): 0.2523849067982474, Interval(20, 22, closed='right'): 0.26352162204196217, Interval(22, 26, closed='right'): 0.34175081310555705, Interval(26, 44, closed='right'): 0.1955038837520365}"
2025,0.33956895802385484,0.3413000570513342,-0.0017310990274793658,0.14584150656813613,0.12924483922327534,0.016596667344860788,"{Interval(13, 20, closed='right'): 0.2604679680799406, Interval(20, 22, closed='right'): 0.23820231480212978, Interval(22, 26, closed='right'): 0.33956895802385484, Interval(26, 44, closed='right'): 0.1937274514557187}"
2026,0.34163777346484997,0.34154572475307504,9.204871177492802e-05,0.12920156910324487,0.14584775866995758,-0.01664618956671271,"{Interval(13, 20, closed='right'): 0.26779881583317716, Interval(20, 22, closed='right'): 0.3049004307775741, Interval(22, 26, closed='right'): 0.34163777346484997, Interval(26, 44, closed='right'): 0.2124362043616051}"
2027,0.3410923135364909,0.33780941884159565,0.003282894694895233,0.12678452865012188,0.14552582704908165,-0.01874129839895977,"{Interval(13, 20, closed='right'): 0.29226878655199195, Interval(20, 22, closed='right'): 0.29477141940916807, Interval(22, 26, closed='right'): 0.3410923135364909, Interval(26, 44, closed='right'): 0.214307784886369}"
2048,0.3296444161745646,0.3214419147743763,0.0082025014001883,0.12087921865006049,0.1385704357529598,-0.01769121710289931,"{Interval(13, 20, closed='right'): 0.23524141504548188, Interval(20, 22, closed='right'): 0.25432310105379796, Interval(22, 26, closed='right'): 0.3296444161745646, Interval(26, 44, closed='right'): 0.2087651975245041}"
4096,0.31138130340202325,0.3458586087262567,-0.03447730532423343,0.11235392444234385,0.12830573191381903,-0.015951807471475177,"{Interval(13, 20, closed='right'): 0.26158283631212886, Interval(20, 22, closed='right'): 0.2867343092775829, Interval(22, 26, closed='right'): 0.31138130340202325, Interval(26, 44, closed='right'): 0.1990273789596794}"
7000,0.3379278023688641,0.3619134856678867,-0.02398568329902262,0.1257085618704544,0.1601435066958792,-0.03443494482542481,"{Interval(13, 20, closed='right'): 0.26591472256938337, Interval(20, 22, closed='right'): 0.2781490526937752, Interval(22, 26, closed='right'): 0.3379278023688641, Interval(26, 44, closed='right'): 0.2122192404984097}"
8192,0.32770455351276223,0.349761852563462,-0.022057299050699752,0.12956355393219454,0.1516500461775916,-0.02208649224539705,"{Interval(13, 20, closed='right'): 0.23685631337932053, Interval(20, 22, closed='right'): 0.2783809525042677, Interval(22, 26, closed='right'): 0.32770455351276223, Interval(26, 44, closed='right'): 0.1981409995805677}"
