run_name,run_seed,best_epoch,num_epochs_run,val_mae,val_rmse,val_r2,val_true_mean,val_pred_mean,val_age_worst_group_mae,val_age_gap,val_gender_worst_group_mae,val_gender_gap,test_mae,test_rmse,test_r2,test_true_mean,test_pred_mean,test_age_worst_group_mae,test_age_gap,test_gender_worst_group_mae,test_gender_gap
visual_baseline_fixed_age_split_seed42,42,7,14,0.28448782493379826,0.380531432308417,0.18146412078345464,2.9482362854486284,2.936690635636262,0.35048377444443196,0.11340263091063263,0.28542746383096473,0.00255197382298622,0.28382908190934364,0.36134127326886534,0.12022899299476575,2.8952097723202863,2.8523555693647142,0.34152434129486636,0.1354116829012099,0.29139133893340324,0.021929423373181767
visual_baseline_fixed_age_split_seed100,100,1,8,0.29741612813850715,0.3863743664903473,0.1561344430108632,2.9482362854486284,2.95342381126046,0.35830473663223084,0.10926692711049082,0.31123247277745436,0.03752393600804982,0.27447163406068575,0.35639328954562105,0.14415810746233326,2.8952097723202863,2.9141413708665116,0.309209060692404,0.1075866861749431,0.28018363450291284,0.016563953804648257
visual_baseline_fixed_age_split_seed2000,2000,2,9,0.2887371349118577,0.3801312851716557,0.18318467551982964,2.9482362854486284,2.948996228639163,0.3305545735384911,0.0818074825197744,0.29424333109673195,0.014954328274828899,0.29491523919919166,0.3761664096168763,0.04655745275402945,2.8952097723202863,2.9294166023635473,0.3631832014736327,0.17679973134749427,0.31055269870100105,0.023868344081442006
visual_baseline_fixed_age_split_seed2025,2025,7,14,0.277952546798479,0.37063103845905887,0.2235022134002118,2.9482362854486284,2.921620395337632,0.3333030019120234,0.09235310465967406,0.2803222887256375,0.006436003643078114,0.28355154630685897,0.3555080269798898,0.14840456123426315,2.8952097723202863,2.8643473894219778,0.33729620345814104,0.1450678681644995,0.28591887255470905,0.0068648948834169055
visual_baseline_fixed_age_split_seed2026,2026,5,12,0.2797271726797593,0.37863948587663504,0.1895831676433517,2.9482362854486284,2.932375439512403,0.3344770739122245,0.08758728091317658,0.2869725919234744,0.01967789999145364,0.2894649141339214,0.36974560747758206,0.07882837638239049,2.8952097723202863,2.848807837064079,0.347166192887376,0.1598885097132758,0.29702362142378164,0.02191912967067039
visual_baseline_fixed_age_split_seed2027,2027,6,13,0.28176427394608905,0.37540025921649883,0.20338994193895654,2.9482362854486284,2.954130894220025,0.3322762682214138,0.07929552068964346,0.2867863710045902,0.013639559056611072,0.2922599111624342,0.3710222151534641,0.07245640135371312,2.8952097723202863,2.9086943766624915,0.34145528009658016,0.1406089752001303,0.2966034563664858,0.012595636648840836
visual_baseline_fixed_age_split_seed2048,2048,7,14,0.29370098589797844,0.38194196946833736,0.17538464854777758,2.9482362854486284,2.910481277938113,0.3357649072217067,0.08598169736606284,0.30148321341906864,0.021135822472051813,0.27634516726616065,0.3575651471185119,0.13852066314404798,2.8952097723202863,2.857007087969542,0.3268730865614889,0.14324508425166013,0.2902662819458702,0.04036916712387584
visual_baseline_fixed_age_split_seed4096,4096,5,12,0.29041526881221946,0.38042680676647633,0.18191416500867286,2.9482362854486284,2.8996965121469183,0.344242909708198,0.09787921245647366,0.29777270882247214,0.01998213820966349,0.2874314146262662,0.3680994767665964,0.08701234603204833,2.8952097723202863,2.8595176326341107,0.3416264642844946,0.1450982346922594,0.2977528108930457,0.029930517809229396
visual_baseline_fixed_age_split_seed7000,7000,6,13,0.29020664364667564,0.3778387787891296,0.1930071126145554,2.9482362854486284,2.934707834949498,0.365059678634265,0.11683974886375295,0.29803157767186367,0.021251809454772064,0.28803952419108275,0.37234810565746285,0.06581518876362225,2.8952097723202863,2.8630701199490325,0.3499568202293048,0.15374746344004991,0.2955003500869152,0.021635288150451848
visual_baseline_fixed_age_split_seed8192,8192,6,13,0.2820795762960105,0.37928437140322213,0.18682026961272735,2.9482362854486284,2.9741359676859203,0.3466052143833527,0.12028473649662366,0.2897647347940941,0.012163926364516409,0.2953168648257223,0.37226493159463037,0.06623249325267289,2.8952097723202863,2.933064769664729,0.3490607559817781,0.1638471430037646,0.3027268868319367,0.021487964408228755
