metric,mean,std,min,median,max
test_mae,0.28656252976816676,0.0071285701731920986,0.27447163406068575,0.28773546940867445,0.2953168648257223
test_rmse,0.36604544831795,0.007614050804924857,0.3555080269798898,0.3689225421220892,0.3761664096168763
test_r2,0.09682145833738867,0.0374543881044168,0.04655745275402945,0.0829203612072194,0.14840456123426315
test_age_worst_group_mae,0.3407351406960067,0.014527527735281499,0.309209060692404,0.34157540278968046,0.3631832014736327
test_age_gap,0.1471301378889287,0.018658675781923623,0.1075866861749431,0.14508305142837946,0.17679973134749427
test_gender_worst_group_mae,0.2947919952240061,0.008518444528512694,0.28018363450291284,0.2960519032267005,0.31055269870100105
test_gender_gap,0.021716431995398598,0.009131610460624082,0.0068648948834169055,0.02177720891056112,0.04036916712387584
