model,metric,mean,ci_low,ci_high
visual_baseline_fixed_age_split_seed42,mae,0.2827801902195716,0.24723303326880555,0.3254936433925791
visual_baseline_fixed_age_split_seed42,rmse,0.35904688921154637,0.3169723084162321,0.40706415410634617
visual_baseline_fixed_age_split_seed42,r2,0.09151024940861263,-0.1576530952730379,0.2993595963963996
visual_baseline_fixed_age_split_seed42,gender_gap,0.03569257873295027,0.0,0.10678285325717637
visual_baseline_fixed_age_split_seed42,gender_worst_group_mae,0.2970210485247019,0.2548748560584842,0.35078445784444184
visual_baseline_fixed_age_split_seed42,age_gap,0.11936396240412639,0.051656974807294614,0.18180929114111313
visual_baseline_fixed_age_split_seed42,age_worst_group_mae,0.33948823606435446,0.29381873560126304,0.3879219495347696
visual_baseline_fixed_age_split_seed100,mae,0.27426890720257474,0.24632192295297287,0.30042213280316094
visual_baseline_fixed_age_split_seed100,rmse,0.35572624119856006,0.32074548145066645,0.3877272057113495
visual_baseline_fixed_age_split_seed100,r2,0.11504765127548504,-0.08601003726495329,0.27915162712883657
visual_baseline_fixed_age_split_seed100,gender_gap,0.02780543765821632,6.351658278108685e-05,0.08943724163164343
visual_baseline_fixed_age_split_seed100,gender_worst_group_mae,0.28521910435595454,0.2551145099470622,0.31228081516867157
visual_baseline_fixed_age_split_seed100,age_gap,0.08886661178079319,0.02627873395977498,0.13596822824692123
visual_baseline_fixed_age_split_seed100,age_worst_group_mae,0.3081531539156155,0.2865867891075069,0.33759060276438213
visual_baseline_fixed_age_split_seed2000,mae,0.29512732780142625,0.24815974314342135,0.33837846426860346
visual_baseline_fixed_age_split_seed2000,rmse,0.37546683787457125,0.32435978929710757,0.4190071809155694
visual_baseline_fixed_age_split_seed2000,r2,0.018777066312466992,-0.19088489328299596,0.2044564657523449
visual_baseline_fixed_age_split_seed2000,gender_gap,0.052811591418489484,1.5953237818722155e-05,0.12393035532037355
visual_baseline_fixed_age_split_seed2000,gender_worst_group_mae,0.323312292928544,0.2615404565433522,0.39029901344730583
visual_baseline_fixed_age_split_seed2000,age_gap,0.14897799774843076,0.08055802519057896,0.2039155433211674
visual_baseline_fixed_age_split_seed2000,age_worst_group_mae,0.3589865986655435,0.31339713728128793,0.39029901344730583
visual_baseline_fixed_age_split_seed2025,mae,0.2821601611654021,0.24561875676423847,0.3172519304382008
visual_baseline_fixed_age_split_seed2025,rmse,0.35317925200844447,0.3108076350300274,0.39227515344318603
visual_baseline_fixed_age_split_seed2025,r2,0.126889230796599,-0.06428180767244776,0.27443095573519816
