run_name,run_seed,best_epoch,num_epochs_run,val_mae,val_rmse,val_r2,val_true_mean,val_pred_mean,val_age_worst_group_mae,val_age_gap,val_gender_worst_group_mae,val_gender_gap,test_mae,test_rmse,test_r2,test_true_mean,test_pred_mean,test_age_worst_group_mae,test_age_gap,test_gender_worst_group_mae,test_gender_gap
sensor_baseline_fixed_age_split_seed42,42,11,18,0.30425189735444963,0.404976041472383,0.0729240579604371,2.9482362854486284,2.9387375092656045,0.3593289186524985,0.10550552803382968,0.3256270262447677,0.05805290687256842,0.31081115363900025,0.39710158153224784,-0.06252152753566009,2.8952097723202863,2.937846732920288,0.36431671999133425,0.10231595539994931,0.35369943661576564,0.06546282630073247
sensor_baseline_fixed_age_split_seed100,100,15,22,0.3031356091529256,0.4035296403383491,0.07953446921441243,2.9482362854486284,2.9286201098723392,0.35339400709125474,0.10052091023822818,0.3210078375009687,0.048539347445253456,0.3136336423759724,0.4015639902128275,-0.08653576549915187,2.8952097723202863,2.9308860744165015,0.36280939902740056,0.10910414697538195,0.3487996676997544,0.05367590511154391
sensor_baseline_fixed_age_split_seed2000,2000,12,19,0.3039057040037193,0.40926018362507,0.05320569111495299,2.9482362854486284,2.9697577691754313,0.36883868409849163,0.11477123467858125,0.32341500068517887,0.052985476214418514,0.3127994718957844,0.3954557951201467,-0.053732543221431284,2.8952097723202863,2.9623320377309112,0.3576572459812984,0.08474461618329454,0.35540290106121086,0.06502803772262866
sensor_baseline_fixed_age_split_seed2025,2025,8,15,0.3038953911947794,0.40486247012849935,0.0734439627755199,2.9482362854486284,2.950442800669823,0.35439264380816116,0.1009786516553729,0.32249985000418774,0.050528018811915876,0.31170144232681385,0.3969005676694948,-0.06144609742575158,2.8952097723202863,2.928148363383111,0.3598014538152838,0.08510801128509116,0.3537499966094331,0.06418110062114751
sensor_baseline_fixed_age_split_seed2026,2026,11,18,0.30486322534134197,0.4036691911362116,0.07889771841688364,2.9482362854486284,2.956285455694092,0.3622652312055503,0.10309541460920457,0.32532218151271475,0.055564665056341944,0.31442412987911783,0.3995627966534375,-0.07573325109042983,2.8952097723202863,2.9341412286497377,0.3688176223276951,0.0919588433025359,0.36603336504906503,0.07877411178419508
sensor_baseline_fixed_age_split_seed2027,2027,17,24,0.30309512433979136,0.40208396195625157,0.08611794324049915,2.9482362854486284,2.938530544495372,0.3583317239179066,0.10394963437294125,0.32204561818163563,0.05146781850228166,0.311084936649545,0.3966421122678492,-0.06006415354369632,2.8952097723202863,2.92989544846817,0.36639957800971834,0.10000510591708811,0.3567942110296527,0.06976866597104292
sensor_baseline_fixed_age_split_seed2048,2048,11,18,0.3047023781340159,0.4034206095781113,0.08003180813785882,2.9482362854486284,2.930711146927279,0.3595769568425809,0.1075780342548916,0.3248705021636814,0.05477479139875069,0.31176308103155437,0.3960169251833595,-0.05672504207229645,2.8952097723202863,2.9269648158632604,0.3669771782567596,0.09787197696846472,0.3607382165483622,0.07475353562483472
sensor_baseline_fixed_age_split_seed4096,4096,12,19,0.3051484635905962,0.4038222453915856,0.07819910007548958,2.9482362854486284,2.9575520800690716,0.367291743084065,0.11220966133426374,0.3240665671051733,0.05137984931799905,0.3159930399080834,0.3995120275017379,-0.07545989934001263,2.8952097723202863,2.956107852510187,0.3669999492250532,0.09986566324679624,0.35952087113694553,0.06643900518298396
sensor_baseline_fixed_age_split_seed7000,7000,15,22,0.3042717566605448,0.40492820100148746,0.07314307896617411,2.9482362854486284,2.9561051645427456,0.3634602138268266,0.10429199769320963,0.324048467731546,0.053711749386014696,0.316656877574301,0.40278647937899453,-0.09316135985595286,2.8952097723202863,2.939836569258123,0.36949349227753886,0.0922267506648734,0.3626872494330392,0.07025877532050284
sensor_baseline_fixed_age_split_seed8192,8192,11,18,0.3030494305905715,0.40176142956872113,0.08758349954120848,2.9482362854486284,2.9456170839883185,0.3561941618029482,0.10152593738334942,0.3220219114100433,0.051527533134701875,0.3115599396802727,0.3956456922725362,-0.0547447870971296,2.8952097723202863,2.937150927646961,0.36067386797976597,0.09297263859787919,0.357148893243835,0.06958501346347712
