metric,mean,std,min,median,max
test_mae,0.31304277149604454,0.002069114622455521,0.31081115363900025,0.3122812764636694,0.316656877574301
test_rmse,0.39811879677926315,0.002582159738612173,0.3954557951201467,0.3970010746008713,0.40278647937899453
test_r2,-0.06801244266815125,0.013882246782630463,-0.09316135985595286,-0.061983812480705835,-0.053732543221431284
test_age_worst_group_mae,0.36439465068918486,0.004026178585663945,0.3576572459812984,0.3653581490005263,0.36949349227753886
test_age_gap,0.09561737085413545,0.007671641802651418,0.08474461618329454,0.09542230778317196,0.10910414697538195
test_gender_worst_group_mae,0.35745748084270634,0.004983300904080981,0.3487996676997544,0.3569715521367438,0.36603336504906503
test_gender_gap,0.06779269771030892,0.006745160409447411,0.05367590511154391,0.06801200932323054,0.07877411178419508
