run_name,subject_id,samples,mae,true_mean,pred_mean
visual_baseline_fixed_age_split_seed42,group01_subject_08,1613,0.20611265839365647,2.878642281463112,2.779935278806787
visual_baseline_fixed_age_split_seed42,group01_subject_10,1610,0.24561188798513472,2.8425465838509316,2.9860181503414367
visual_baseline_fixed_age_split_seed42,group01_subject_15,1116,0.3417455947100048,2.6350806451612905,2.79565671759267
visual_baseline_fixed_age_split_seed42,group01_subject_18,1855,0.25514511599373624,2.8776280323450134,2.876151475238029
visual_baseline_fixed_age_split_seed42,group02_subject_07,1050,0.23459035623641242,3.0030952380952383,2.9581450664429436
visual_baseline_fixed_age_split_seed42,group02_subject_10,1320,0.30149898474866693,2.8854166666666665,2.794678270636183
visual_baseline_fixed_age_split_seed42,group02_subject_16,2090,0.24394665540120247,2.852392344497608,2.885925881600266
visual_baseline_fixed_age_split_seed42,group02_subject_20,2459,0.29381873560126304,2.7932086213908094,2.824490191927767
visual_baseline_fixed_age_split_seed42,group03_subject_11,2523,0.3879219495347696,3.162504954419342,2.806444257202481
visual_baseline_fixed_age_split_seed100,group01_subject_08,1613,0.2016223745174609,2.878642281463112,2.8786390392364956
visual_baseline_fixed_age_split_seed100,group01_subject_10,1610,0.23699173557091943,2.8425465838509316,2.9933967055741304
visual_baseline_fixed_age_split_seed100,group01_subject_15,1116,0.29489143988564875,2.6350806451612905,2.823662600209636
visual_baseline_fixed_age_split_seed100,group01_subject_18,1855,0.249739125732463,2.8776280323450134,3.013696358852952
visual_baseline_fixed_age_split_seed100,group02_subject_07,1050,0.23565071151370093,3.0030952380952383,2.8822925794692265
visual_baseline_fixed_age_split_seed100,group02_subject_10,1320,0.2965935710704688,2.8854166666666665,2.8912188143441173
visual_baseline_fixed_age_split_seed100,group02_subject_16,2090,0.285696265343844,2.852392344497608,3.047471491343667
visual_baseline_fixed_age_split_seed100,group02_subject_20,2459,0.2865867891075069,2.7932086213908094,2.7882112255422213
visual_baseline_fixed_age_split_seed100,group03_subject_11,2523,0.33759060276438213,3.162504954419342,2.890623835595033
visual_baseline_fixed_age_split_seed2000,group01_subject_08,1613,0.18638347012613843,2.878642281463112,2.8650572435943076
visual_baseline_fixed_age_split_seed2000,group01_subject_10,1610,0.26695710590907507,2.8425465838509316,3.0094695805022433
visual_baseline_fixed_age_split_seed2000,group01_subject_15,1116,0.31339713728128793,2.6350806451612905,2.857089027495367
visual_baseline_fixed_age_split_seed2000,group01_subject_18,1855,0.2616950726573358,2.8776280323450134,2.917135948119459
