model,n_samples,mae,rmse,r2,tolerant_accuracy,tolerance,one_off_accuracy,binary_threshold,binary_accuracy,binary_f1,binary_roc_auc,binary_confusion_matrix,true_mean,pred_mean,age_worst_group_mae,age_gap,gender_worst_group_mae,gender_gap
train-mean constant baseline,15636,0.31236509501301035,0.392701594324263,-0.0391059543042338,0.22269122537733435,0.15,1.0,3.0,0.5395241749808135,0.0,0.5,"[[8436, 0], [7200, 0]]",2.8952097723202863,2.9713920919283416,,,,
ten-seed prediction ensemble (diagnostic),15636,0.2779276097467349,0.35398255524272104,0.1556972101350469,0.3509849066257355,0.15,0.9998720900486058,3.0,0.6628293681248401,0.5180106052294752,0.6738809450898267,"[[7531, 905], [4367, 2833]]",2.8952097723202863,2.8830422755960736,0.3350667297820569,0.1511646376306161,0.2831381082441694,0.015109672571566424
