model_baseline,split_id,split_random_state,run_seed,best_epoch_baseline,num_epochs_run_baseline,val_subject_age_worst_group_mae_baseline,val_subject_age_gap_baseline,val_subject_gender_worst_group_mae,val_subject_gender_gap,test_subject_age_worst_group_mae_baseline,test_subject_age_gap_baseline,test_subject_gender_worst_group_mae,test_subject_gender_gap,model_path_baseline,val_prediction_path_baseline,test_prediction_path_baseline,val_mae_baseline,val_rmse_baseline,val_r2_baseline,val_true_mean_baseline,val_pred_mean_baseline,val_age_worst_group_mae_baseline,val_age_gap_baseline,val_gender_worst_group_mae_baseline,val_gender_gap_baseline,test_mae_baseline,test_rmse_baseline,test_r2_baseline,test_true_mean_baseline,test_pred_mean_baseline,test_age_worst_group_mae_baseline,test_age_gap_baseline,test_gender_worst_group_mae_baseline,test_gender_gap_baseline,model_candidate,fairness_lambda,best_epoch_candidate,num_epochs_run_candidate,model_path_candidate,val_prediction_path_candidate,test_prediction_path_candidate,val_mae_candidate,val_rmse_candidate,val_r2_candidate,val_true_mean_candidate,val_pred_mean_candidate,val_age_worst_group_mae_candidate,val_age_gap_candidate,val_gender_worst_group_mae_candidate,val_gender_gap_candidate,val_subject_age_worst_group_mae_candidate,val_subject_age_gap_candidate,test_mae_candidate,test_rmse_candidate,test_r2_candidate,test_true_mean_candidate,test_pred_mean_candidate,test_age_worst_group_mae_candidate,test_age_gap_candidate,test_gender_worst_group_mae_candidate,test_gender_gap_candidate,test_subject_age_worst_group_mae_candidate,test_subject_age_gap_candidate,overall_mae_gain,val_overall_mae_gain,val_worst_group_mae_gain,val_gap_reduction,val_subject_worst_group_mae_gain,val_subject_gap_reduction,worst_group_mae_gain,gap_reduction,subject_worst_group_mae_gain,subject_gap_reduction
unregularized,0,42,42,2,9,0.5053170744027353,0.2003556566479561,0.3643347834333498,0.0226239213443335,0.3250516232067518,0.0943195784024693,0.2910549359245852,0.0555806291869729,models/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split00_seed42.pt,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split00_seed42_val_predictions.csv,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split00_seed42_test_predictions.csv,0.3501803621642217,0.4502280471919369,-0.2000476765182117,2.8445863490994783,3.0153811837241937,0.507670520823829,0.2035027279022278,0.3573517266896646,0.0211991922605578,0.2808944826168864,0.3623754030304944,0.18056269688909,3.0553302079086837,3.0128002438698798,0.3253023238421563,0.0884210640059892,0.2913707232865301,0.0450687800116377,age_regularized,0.8,15,22,models/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split00_lambda0p8_seed42.pt,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split00_lambda0p8_seed42_val_predictions.csv,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split00_lambda0p8_seed42_test_predictions.csv,0.3431915899776606,0.44138233637972496,-0.15335580703400797,2.8445863490994783,3.0129825110147346,0.4395581484449153,0.1410599225103376,0.35243269686858114,0.02731753503617812,0.4376625118961583,0.1369783210167923,0.2789173875980556,0.36145398131471673,0.18472460953489012,3.0553302079086833,3.0014735501394725,0.3314969764780995,0.10047757726161965,0.2877442827770759,0.03797329686800566,0.33463921608819713,0.11222112574003729,0.0019770950188307546,0.006988772186561132,0.06811237237891371,0.06244280539189018,0.06765456250657703,0.0633773356311638,-0.00619465263594321,-0.012056513255630452,-0.00958759288144534,-0.01790154733756799
unregularized,1,43,100,4,11,0.3481537670503825,0.0619663194310813,0.3433276556223426,0.0363530036422581,0.3082220584233359,0.0713321020712535,0.3119780291773267,0.0841966313961365,models/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split01_seed100.pt,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split01_seed100_val_predictions.csv,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split01_seed100_test_predictions.csv,0.3284360092385542,0.4082626307719835,0.0314965967311716,2.866643487435258,2.9806089367172253,0.3726716588391582,0.0864908070619692,0.3339745596697947,0.0121071237647789,0.2938711252401222,0.3799574064636252,0.1211839295346953,2.9983442337941884,3.003266051585572,0.3143877358020356,0.068935643225914,0.3115062202519429,0.0818498799799354,age_regularized,0.8,6,13,models/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split01_lambda0p8_seed100.pt,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split01_lambda0p8_seed100_val_predictions.csv,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split01_lambda0p8_seed100_test_predictions.csv,0.3335003969583817,0.4124517141211303,0.011519474933575635,2.866643487435258,3.0271798233804788,0.36294415295664934,0.04551551505224649,0.34232150360811486,0.019282704252042815,0.34232166879978343,0.02178836532669548,0.3100720106326682,0.39128288185789206,0.06801299297908914,2.9983442337941884,3.0275870426589955,0.32903068536638663,0.05635509859073179,0.327756768385477,0.08208037997931894,0.33139729331333334,0.06710500134063624,-0.016200885392545994,-0.005064387719827479,0.009727505882508869,0.040975292009722705,0.005832098250599049,0.04017795410438582,-0.014642949564351027,0.012580544635182211,-0.023175234889997454,0.004227100730617259
unregularized,2,47,2000,4,11,0.3656119211225039,0.0676891447732008,0.3571554428992289,0.0560927895253792,0.3810849681019301,0.1155519749150318,0.3440679033063168,0.0563883605593485,models/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split02_seed2000.pt,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split02_seed2000_val_predictions.csv,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split02_seed2000_test_predictions.csv,0.3361973076220141,0.4274836453076917,-0.0612702893402208,2.9912213121401345,3.025182189263525,0.3577067099992363,0.0616426680086824,0.3570879376079119,0.0600681726375437,0.2990946184422986,0.3931614396306567,0.1327671322456861,2.9579461385781305,3.019678625312793,0.3434121588923505,0.0813271341536566,0.320033969376907,0.0330144759259174,age_regularized,0.8,7,14,models/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split02_lambda0p8_seed2000.pt,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split02_lambda0p8_seed2000_val_predictions.csv,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split02_lambda0p8_seed2000_test_predictions.csv,0.34443343205808113,0.42721904947826783,-0.05995692546777276,2.9912213121401345,3.108027382929843,0.3766408209950554,0.05370249933336341,0.3600217507053763,0.04482209566043993,0.3869888712939161,0.05970492198231464,0.33057995725091033,0.4279646962421346,-0.02756613959778953,2.9579461385781305,3.1227371017776298,0.37510721704234246,0.09777493510876811,0.34576001064966744,0.02393395616953392,0.4201841990102506,0.12870863364391832,-0.03148533880861171,-0.008236124436067027,-0.018934110995819098,0.007940168675318993,-0.021376950171412223,0.007984222790886161,-0.03169505814999196,-0.016447800955111516,-0.039099230908320515,-0.013156658728886522
unregularized,3,49,2025,6,13,0.3727420219233411,0.1001657646923567,0.3298138370551882,0.0248920084636355,0.355164247706801,0.025329646946274,0.3489107499381297,0.0190035471182216,models/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split03_seed2025.pt,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split03_seed2025_val_predictions.csv,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split03_seed2025_test_predictions.csv,0.3173114134033503,0.4003309860428205,0.0657575955656387,2.8865016404681456,2.9756608421121507,0.3615496146758431,0.0843017421971876,0.3246524668980284,0.0190026180016251,0.3317938754991136,0.4277018202605097,-0.1735524388328106,2.926142156624751,2.8825653708142585,0.349658590782898,0.0485506487933412,0.3373775662041635,0.0090109909466358,age_regularized,0.8,7,14,models/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split03_lambda0p8_seed2025.pt,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split03_lambda0p8_seed2025_val_predictions.csv,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split03_lambda0p8_seed2025_test_predictions.csv,0.3152983900113809,0.41521593633500375,-0.0050072405072767445,2.8865016404681456,3.03009759749916,0.37499590339512595,0.10986848462147136,0.32073720635713804,0.00886259723880517,0.37114032583896894,0.10956800965443309,0.32404290118622375,0.4152674912423021,-0.10630830214216003,2.926142156624751,2.955290933150067,0.36827232946311483,0.06703544408154566,0.34923664964155365,0.040657810619323775,0.4096312863443184,0.10271376984951808,0.007750974312889847,0.002013023391969404,-0.013446288719282828,-0.025566742424283764,0.0016016960843721617,-0.009402244962076381,-0.018613738680216818,-0.01848479528820446,-0.054467038637517395,-0.07738412290324408
unregularized,4,50,2026,3,10,0.449187789670779,0.1636567316754766,0.3869712018322148,0.0567533945405599,0.4086684340228863,0.1006193001220623,0.3546591368298313,0.0069968385000746,models/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split04_seed2026.pt,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split04_seed2026_val_predictions.csv,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split04_seed2026_test_predictions.csv,0.3327179450802885,0.4263558464398746,-0.0237276631538614,2.999916345992973,2.950485359242235,0.393608791303876,0.1071986286206809,0.3396922533934539,0.0107002350735517,0.3510566832396784,0.4469167105505745,-0.0373850468392693,2.940087287183476,3.028304273086352,0.4055425459029307,0.1064828912518875,0.3635281187005693,0.0192820657025611,age_regularized,0.8,7,14,models/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split04_lambda0p8_seed2026.pt,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split04_lambda0p8_seed2026_val_predictions.csv,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split04_lambda0p8_seed2026_test_predictions.csv,0.35094530304798177,0.45279509903178944,-0.15463157203817057,2.999916345992973,2.8538027966882105,0.3924988077384138,0.0735025398496093,0.3555578770399139,0.013246536816710397,0.3894387286500188,0.07166660471830316,0.32691173582931715,0.41573390752119715,0.10232797491266876,2.940087287183476,2.8906558952132912,0.39716071454274043,0.11400550703396212,0.33107269085836183,0.011780379408141861,0.35897754758392164,0.07389092623846988,0.024144947410361273,-0.01822735796769326,0.0011099835654622137,0.033696088771071595,0.05974906102076022,0.09199012695717343,0.008381831360190273,-0.007522615782074624,0.04969088643896463,0.02672837388359242
unregularized,5,53,2027,5,12,0.3336268419020021,0.0876763486229177,0.3035841076755031,0.0251153239505227,0.3392486389804494,0.056980118640066,0.3255639222376346,0.0079828494159621,models/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split05_seed2027.pt,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split05_seed2027_val_predictions.csv,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split05_seed2027_test_predictions.csv,0.2940596712505517,0.3871562881363772,0.0749256439688019,3.002855876062803,2.9253277851129806,0.344529712635513,0.1072003247444364,0.3039944162456053,0.035976387665314,0.3250398556368,0.421241141032852,0.0637554362209508,3.0076641395554247,2.8664003429506906,0.3466749965094079,0.0644028383838599,0.3296438218527177,0.0092398973350259,age_regularized,0.8,10,17,models/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split05_lambda0p8_seed2027.pt,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split05_lambda0p8_seed2027_val_predictions.csv,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split05_lambda0p8_seed2027_test_predictions.csv,0.2944523830392925,0.38753093503828034,0.07313440905329172,3.002855876062803,3.0636459854957327,0.3169012793379376,0.06846795302076181,0.2994328167628012,0.01803549205012933,0.31800407899879496,0.04986479626349183,0.3342640873049665,0.42722150725090524,0.036982977610619194,3.0076641395554247,3.010522065958674,0.3721798446446971,0.07132350185363068,0.36067991980827313,0.0526495269405009,0.3718328636729625,0.06969549097851768,-0.009224231668166494,-0.00039271178874078494,0.027628433297575417,0.038732371723674594,0.015622762903207132,0.037811552359425876,-0.025504848135289193,-0.006920663469770771,-0.0325842246925131,-0.012715372338451679
unregularized,6,54,2048,2,9,0.4089981615552762,0.1109637841934579,0.3753551779786617,0.0534968440687496,0.4005168189721182,0.1205859299702384,0.3765853117253548,0.0696747735533206,models/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split06_seed2048.pt,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split06_seed2048_val_predictions.csv,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split06_seed2048_test_predictions.csv,0.3272880740416677,0.4164150010416065,-0.0364595607157556,3.040631578947369,3.043866845331694,0.3760726000021961,0.0798642221072751,0.3411077542833937,0.0199112718843115,0.355405568839595,0.4486668440056764,-0.2076215205447613,2.9021434702082485,3.1234829960656896,0.3933535598319209,0.1029305192934369,0.3628278980108088,0.0387885035087724,age_regularized,0.8,7,14,models/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split06_lambda0p8_seed2048.pt,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split06_lambda0p8_seed2048_val_predictions.csv,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split06_lambda0p8_seed2048_test_predictions.csv,0.33973179071326004,0.43719710849276505,-0.14249469309267315,3.0406315789473686,2.8591619222841764,0.3853559881895812,0.07115917260822302,0.3419182792041985,0.007146862325872305,0.38265570176105274,0.07759103900354375,0.2714039256655977,0.350433605745376,0.2632936983443278,2.9021434702082485,2.895093228503898,0.286574402084771,0.037033728829301255,0.2767095584575307,0.027726816127247922,0.2938379343260811,0.04485981210123918,0.08400164317399733,-0.01244371667159233,-0.009283388187385111,0.008705049499052084,0.02634245979422345,0.03337274518991415,0.10677915774714991,0.06589679046413564,0.10667888464603714,0.07572611786899922
unregularized,7,55,4096,6,13,0.3484805405400862,0.0664658199201435,0.3323154431457384,0.0384481119370361,0.4275854935993593,0.1500115051715882,0.3309247674094405,0.0126712589421692,models/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split07_seed4096.pt,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split07_seed4096_val_predictions.csv,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split07_seed4096_test_predictions.csv,0.3195662661647563,0.4093928877024697,0.1695087306327998,2.938930380852551,2.999003161518079,0.3532061920551169,0.0693660997198338,0.3351184183024234,0.043166696004852,0.3160883697416317,0.4030205915940707,-0.0471122715515546,2.987718722659668,2.967567850577654,0.4144964141289807,0.1304296471112833,0.320213577192307,0.0186552408155168,age_regularized,0.8,3,10,models/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split07_lambda0p8_seed4096.pt,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split07_lambda0p8_seed4096_val_predictions.csv,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split07_lambda0p8_seed4096_test_predictions.csv,0.33083749407867213,0.42101962378317237,0.12166707699564028,2.938930380852551,2.9701257112411916,0.3583463515180365,0.06202636828567659,0.35083549789514135,0.055506642669642225,0.35142305440932897,0.059147000706821495,0.2994029667225201,0.38588840033957233,0.040019911875191605,2.9877187226596678,2.9956124128527737,0.4099920618789487,0.15267246469622842,0.2996890930003311,0.0012939360456497018,0.4288222818868404,0.17673812913857495,0.01668540301911159,-0.011271227913915827,-0.0051401594629196246,0.007339731434157212,-0.002942513869242769,0.007318819213322003,0.004504352250031984,-0.022242817584945118,-0.0012367882874810832,-0.026726623966986746
unregularized,8,56,7000,3,10,0.3969320855108648,0.1366270896670262,0.3108210634665138,0.0102321135671406,0.3833811175831567,0.0908544558511189,0.354646902078184,0.0431523982433176,models/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split08_seed7000.pt,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split08_seed7000_val_predictions.csv,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split08_seed7000_test_predictions.csv,0.2943957871767449,0.3821410733695112,0.0959631251664673,3.0318020426949546,3.057019976696295,0.3893097425051949,0.1290045375963663,0.2982034049631656,0.0061961041844364,0.3344587866669682,0.4270172241327534,0.0283374588907909,2.9169882100750266,3.0229808870644685,0.3614507398466375,0.0772472196716735,0.3400201913072218,0.0173817182411782,age_regularized,0.8,3,10,models/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split08_lambda0p8_seed7000.pt,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split08_lambda0p8_seed7000_val_predictions.csv,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split08_lambda0p8_seed7000_test_predictions.csv,0.27269080379888905,0.3549063802732188,0.22023036234391258,3.0318020426949546,3.076773501882652,0.3038224648166749,0.052411800202256054,0.2780806058245163,0.013981982443783736,0.30354770523832064,0.05598076678045641,0.32683160621381396,0.41277394991417804,0.0920765426078235,2.9169882100750266,3.0373483278104856,0.3780016031225356,0.1045159907377719,0.33897484474653494,0.03795270518232852,0.39394426088877205,0.11593933330791534,0.0076271804531542475,0.02170498337785587,0.08548727768851999,0.07659273739411024,0.09338438027254414,0.08064632288656978,-0.01655086327589811,-0.0272687710660984,-0.010563143305615363,-0.02508487745679644
unregularized,9,57,8192,3,10,0.3523259826629724,0.0917755327093044,0.3315216362757073,0.0726221900817914,0.3474755576384374,0.1008943729865676,0.3336586095604293,0.0586016319326141,models/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split09_seed8192.pt,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split09_seed8192_val_predictions.csv,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split09_seed8192_test_predictions.csv,0.2985739525112847,0.3885346511331912,0.0933754898139761,3.0434260248090035,3.0962219838881406,0.3461900542451152,0.0888401668205993,0.324931414771214,0.0822163710672954,0.3208939585929596,0.4136939036996002,0.0627851613538422,2.991055495103373,3.0178549356844533,0.3499757911090049,0.0781192269110067,0.329939017617948,0.0296786962438028,age_regularized,0.8,4,11,models/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split09_lambda0p8_seed8192.pt,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split09_lambda0p8_seed8192_val_predictions.csv,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split09_lambda0p8_seed8192_test_predictions.csv,0.30346295411120816,0.38907878960147024,0.09083427645283415,3.0434260248090035,2.9493382766195286,0.3402793429911305,0.053128500833285075,0.31405220398713496,0.033030861944819245,0.3520393097476203,0.06463314168384404,0.34775389517741573,0.4456528701812932,-0.08761284904728761,2.991055495103373,2.9059010629062425,0.4108021687292176,0.11661616594051355,0.37468146052029566,0.038731660536697354,0.4031046081359278,0.10928743700686178,-0.026859936584456123,-0.004889001599923448,0.0059107112539846796,0.03571166598731422,0.00028667291535205974,0.027142391025460358,-0.0608263776202127,-0.03849693902950685,-0.055629050497490395,-0.008393064020294175
