model,split_id,run_seed,fairness_lambda,best_epoch,num_epochs_run,model_path,val_prediction_path,test_prediction_path,val_mae,val_rmse,val_r2,val_true_mean,val_pred_mean,val_age_worst_group_mae,val_age_gap,val_gender_worst_group_mae,val_gender_gap,val_subject_age_worst_group_mae,val_subject_age_gap,test_mae,test_rmse,test_r2,test_true_mean,test_pred_mean,test_age_worst_group_mae,test_age_gap,test_gender_worst_group_mae,test_gender_gap,test_subject_age_worst_group_mae,test_subject_age_gap
age_regularized,0,42,0.8,15,22,models/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split00_lambda0p8_seed42.pt,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split00_lambda0p8_seed42_val_predictions.csv,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split00_lambda0p8_seed42_test_predictions.csv,0.3431915899776606,0.44138233637972496,-0.15335580703400797,2.8445863490994783,3.0129825110147346,0.4395581484449153,0.1410599225103376,0.35243269686858114,0.02731753503617812,0.4376625118961583,0.1369783210167923,0.2789173875980556,0.36145398131471673,0.18472460953489012,3.0553302079086833,3.0014735501394725,0.3314969764780995,0.10047757726161965,0.2877442827770759,0.03797329686800566,0.33463921608819713,0.11222112574003729
age_regularized,1,100,0.8,6,13,models/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split01_lambda0p8_seed100.pt,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split01_lambda0p8_seed100_val_predictions.csv,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split01_lambda0p8_seed100_test_predictions.csv,0.3335003969583817,0.4124517141211303,0.011519474933575635,2.866643487435258,3.0271798233804788,0.36294415295664934,0.04551551505224649,0.34232150360811486,0.019282704252042815,0.34232166879978343,0.02178836532669548,0.3100720106326682,0.39128288185789206,0.06801299297908914,2.9983442337941884,3.0275870426589955,0.32903068536638663,0.05635509859073179,0.327756768385477,0.08208037997931894,0.33139729331333334,0.06710500134063624
age_regularized,2,2000,0.8,7,14,models/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split02_lambda0p8_seed2000.pt,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split02_lambda0p8_seed2000_val_predictions.csv,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split02_lambda0p8_seed2000_test_predictions.csv,0.34443343205808113,0.42721904947826783,-0.05995692546777276,2.9912213121401345,3.108027382929843,0.3766408209950554,0.05370249933336341,0.3600217507053763,0.04482209566043993,0.3869888712939161,0.05970492198231464,0.33057995725091033,0.4279646962421346,-0.02756613959778953,2.9579461385781305,3.1227371017776298,0.37510721704234246,0.09777493510876811,0.34576001064966744,0.02393395616953392,0.4201841990102506,0.12870863364391832
age_regularized,3,2025,0.8,7,14,models/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split03_lambda0p8_seed2025.pt,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split03_lambda0p8_seed2025_val_predictions.csv,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split03_lambda0p8_seed2025_test_predictions.csv,0.3152983900113809,0.41521593633500375,-0.0050072405072767445,2.8865016404681456,3.03009759749916,0.37499590339512595,0.10986848462147136,0.32073720635713804,0.00886259723880517,0.37114032583896894,0.10956800965443309,0.32404290118622375,0.4152674912423021,-0.10630830214216003,2.926142156624751,2.955290933150067,0.36827232946311483,0.06703544408154566,0.34923664964155365,0.040657810619323775,0.4096312863443184,0.10271376984951808
age_regularized,4,2026,0.8,7,14,models/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split04_lambda0p8_seed2026.pt,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split04_lambda0p8_seed2026_val_predictions.csv,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split04_lambda0p8_seed2026_test_predictions.csv,0.35094530304798177,0.45279509903178944,-0.15463157203817057,2.999916345992973,2.8538027966882105,0.3924988077384138,0.0735025398496093,0.3555578770399139,0.013246536816710397,0.3894387286500188,0.07166660471830316,0.32691173582931715,0.41573390752119715,0.10232797491266876,2.940087287183476,2.8906558952132912,0.39716071454274043,0.11400550703396212,0.33107269085836183,0.011780379408141861,0.35897754758392164,0.07389092623846988
age_regularized,5,2027,0.8,10,17,models/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split05_lambda0p8_seed2027.pt,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split05_lambda0p8_seed2027_val_predictions.csv,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split05_lambda0p8_seed2027_test_predictions.csv,0.2944523830392925,0.38753093503828034,0.07313440905329172,3.002855876062803,3.0636459854957327,0.3169012793379376,0.06846795302076181,0.2994328167628012,0.01803549205012933,0.31800407899879496,0.04986479626349183,0.3342640873049665,0.42722150725090524,0.036982977610619194,3.0076641395554247,3.010522065958674,0.3721798446446971,0.07132350185363068,0.36067991980827313,0.0526495269405009,0.3718328636729625,0.06969549097851768
age_regularized,6,2048,0.8,7,14,models/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split06_lambda0p8_seed2048.pt,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split06_lambda0p8_seed2048_val_predictions.csv,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split06_lambda0p8_seed2048_test_predictions.csv,0.33973179071326004,0.43719710849276505,-0.14249469309267315,3.0406315789473686,2.8591619222841764,0.3853559881895812,0.07115917260822302,0.3419182792041985,0.007146862325872305,0.38265570176105274,0.07759103900354375,0.2714039256655977,0.350433605745376,0.2632936983443278,2.9021434702082485,2.895093228503898,0.286574402084771,0.037033728829301255,0.2767095584575307,0.027726816127247922,0.2938379343260811,0.04485981210123918
age_regularized,7,4096,0.8,3,10,models/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split07_lambda0p8_seed4096.pt,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split07_lambda0p8_seed4096_val_predictions.csv,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split07_lambda0p8_seed4096_test_predictions.csv,0.33083749407867213,0.42101962378317237,0.12166707699564028,2.938930380852551,2.9701257112411916,0.3583463515180365,0.06202636828567659,0.35083549789514135,0.055506642669642225,0.35142305440932897,0.059147000706821495,0.2994029667225201,0.38588840033957233,0.040019911875191605,2.9877187226596678,2.9956124128527737,0.4099920618789487,0.15267246469622842,0.2996890930003311,0.0012939360456497018,0.4288222818868404,0.17673812913857495
age_regularized,8,7000,0.8,3,10,models/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split08_lambda0p8_seed7000.pt,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split08_lambda0p8_seed7000_val_predictions.csv,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split08_lambda0p8_seed7000_test_predictions.csv,0.27269080379888905,0.3549063802732188,0.22023036234391258,3.0318020426949546,3.076773501882652,0.3038224648166749,0.052411800202256054,0.2780806058245163,0.013981982443783736,0.30354770523832064,0.05598076678045641,0.32683160621381396,0.41277394991417804,0.0920765426078235,2.9169882100750266,3.0373483278104856,0.3780016031225356,0.1045159907377719,0.33897484474653494,0.03795270518232852,0.39394426088877205,0.11593933330791534
age_regularized,9,8192,0.8,4,11,models/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split09_lambda0p8_seed8192.pt,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split09_lambda0p8_seed8192_val_predictions.csv,results/Multimodal Fusion Subject Age MAE Gap Repeated Subject Splits/subject_age_mae_gap_repeated_split09_lambda0p8_seed8192_test_predictions.csv,0.30346295411120816,0.38907878960147024,0.09083427645283415,3.0434260248090035,2.9493382766195286,0.3402793429911305,0.053128500833285075,0.31405220398713496,0.033030861944819245,0.3520393097476203,0.06463314168384404,0.34775389517741573,0.4456528701812932,-0.08761284904728761,2.991055495103373,2.9059010629062425,0.4108021687292176,0.11661616594051355,0.37468146052029566,0.038731660536697354,0.4031046081359278,0.10928743700686178
