metric,mean,std,median,positive_rate
val_overall_mae_gain,-0.002981774914137375,0.011385923358683825,-0.0049766946598754636,0.3
val_worst_group_mae_gain,0.015117233670155822,0.035289424639652844,0.0035103474097234466,0.6
val_gap_reduction,0.028656916846202807,0.029794923760786757,0.03470387737919291,0.9
val_subject_worst_group_mae_gain,0.024615422970698027,0.03689147958900821,0.010727430576903091,0.8
val_subject_gap_reduction,0.0380419225196225,0.032678513112253775,0.03559214877467001,0.9
overall_mae_gain,0.005841685093456473,0.03292905277131052,0.004802137735992501,0.6
worst_group_mae_gain,-0.005436314670453085,0.04400115135281649,-0.015596906420124568,0.3
gap_reduction,-0.007096358133202434,0.029020069472148347,-0.014252157105370984,0.2
subject_worst_group_mae_gain,-0.006997253301537887,0.050281217270259256,-0.01686918909780641,0.2
subject_gap_reduction,-0.007468067426901874,0.039393389510552976,-0.0129360155336691,0.3
