model,n_samples,mae,rmse,r2,tolerant_accuracy,tolerance,one_off_accuracy,binary_threshold,binary_accuracy,binary_f1,binary_roc_auc,binary_confusion_matrix,true_mean,pred_mean,age_worst_group_mae,age_gap,gender_worst_group_mae,gender_gap
train-mean constant baseline,15636,0.31236509501301035,0.392701594324263,-0.0391059543042338,0.22269122537733435,0.15,1.0,3.0,0.5395241749808135,0.0,0.5,"[[8436, 0], [7200, 0]]",2.8952097723202863,2.9713920919283416,,,,
ten-seed prediction ensemble (diagnostic),15636,0.3086761688722555,0.3911192220242908,-0.030748770202277287,0.33128677411102586,0.15,0.9986569455103607,3.0,0.5656817600409312,0.41188187407984755,0.5902261142721669,"[[6467, 1969], [4822, 2378]]",2.8952097723202863,2.9383310050847253,0.36100599572634295,0.09383194964389657,0.3543567520132404,0.06972487290047247
