run_name,subject_id,samples,mae,true_mean,pred_mean
sensor_baseline_fixed_age_split_seed42,group01_subject_08,1613,0.26200076459138494,2.878642281463112,2.7868169909002467
sensor_baseline_fixed_age_split_seed42,group01_subject_10,1610,0.25867167407681485,2.8425465838509316,2.8735871433471303
sensor_baseline_fixed_age_split_seed42,group01_subject_15,1116,0.3349593386427903,2.6350806451612905,2.9147651447617453
sensor_baseline_fixed_age_split_seed42,group01_subject_18,1855,0.21762215133625865,2.8776280323450134,2.9844980098487874
sensor_baseline_fixed_age_split_seed42,group02_subject_07,1050,0.24103882539839971,3.0030952380952383,2.918204680170332
sensor_baseline_fixed_age_split_seed42,group02_subject_10,1320,0.3011329927227714,2.8854166666666665,2.9016368820811764
sensor_baseline_fixed_age_split_seed42,group02_subject_16,2090,0.35640947533566414,2.852392344497608,2.952358013134824
sensor_baseline_fixed_age_split_seed42,group02_subject_20,2459,0.44206774239619606,2.7932086213908094,3.0234084245682538
sensor_baseline_fixed_age_split_seed42,group03_subject_11,2523,0.3015236456716434,3.162504954419342,2.983025579475194
sensor_baseline_fixed_age_split_seed100,group01_subject_08,1613,0.2537052520520186,2.878642281463112,2.782379689012635
sensor_baseline_fixed_age_split_seed100,group01_subject_10,1610,0.24783393611078677,2.8425465838509316,2.869000317591318
sensor_baseline_fixed_age_split_seed100,group01_subject_15,1116,0.3328086808590906,2.6350806451612905,2.9063733076963802
sensor_baseline_fixed_age_split_seed100,group01_subject_18,1855,0.23385880282625676,2.8776280323450134,2.9694226838186424
sensor_baseline_fixed_age_split_seed100,group02_subject_07,1050,0.25445137705121723,3.0030952380952383,2.906288568405878
sensor_baseline_fixed_age_split_seed100,group02_subject_10,1320,0.31390314788529367,2.8854166666666665,2.9433024962743124
sensor_baseline_fixed_age_split_seed100,group02_subject_16,2090,0.36745958271209134,2.852392344497608,2.9371931579124415
sensor_baseline_fixed_age_split_seed100,group02_subject_20,2459,0.42991015919828474,2.7932086213908094,3.0066227087794206
sensor_baseline_fixed_age_split_seed100,group03_subject_11,2523,0.31068099324683374,3.162504954419342,2.9725298403370632
sensor_baseline_fixed_age_split_seed2000,group01_subject_08,1613,0.2729189938369628,2.878642281463112,2.79065392287858
sensor_baseline_fixed_age_split_seed2000,group01_subject_10,1610,0.24816574857842108,2.8425465838509316,2.9231856708941253
sensor_baseline_fixed_age_split_seed2000,group01_subject_15,1116,0.35143724820947136,2.6350806451612905,2.946011032682166
sensor_baseline_fixed_age_split_seed2000,group01_subject_18,1855,0.22558107967325297,2.8776280323450134,2.971168362805143
sensor_baseline_fixed_age_split_seed2000,group02_subject_07,1050,0.23934181894574846,3.0030952380952383,2.9652895032791866
sensor_baseline_fixed_age_split_seed2000,group02_subject_10,1320,0.3030963258309798,2.8854166666666665,2.9884397423628606
sensor_baseline_fixed_age_split_seed2000,group02_subject_16,2090,0.3829303834997296,2.852392344497608,2.9819181387504323
sensor_baseline_fixed_age_split_seed2000,group02_subject_20,2459,0.43758721243031096,2.7932086213908094,3.0223523823892067
sensor_baseline_fixed_age_split_seed2000,group03_subject_11,2523,0.28250612827033406,3.162504954419342,3.008179370628384
sensor_baseline_fixed_age_split_seed2025,group01_subject_08,1613,0.2776300567170514,2.878642281463112,2.7520388171898973
sensor_baseline_fixed_age_split_seed2025,group01_subject_10,1610,0.2505451932456923,2.8425465838509316,2.8812139450393106
sensor_baseline_fixed_age_split_seed2025,group01_subject_15,1116,0.3231480489067707,2.6350806451612905,2.9011794717508406
