run_seed,subset,n_samples,n_subjects,mae_gain,ci_low,ci_high
42,all_test_windows,15579,9,0.0051509958764648055,-0.021505301865103854,0.03437151414427096
42,at_least_2_missing_images,15281,9,0.005233833782180318,-0.021620445955864796,0.035047066529624527
42,at_least_4_missing_images,15101,9,0.0054249984366587,-0.021505494489973204,0.03538756453124151
100,all_test_windows,15579,9,-0.020911369697756407,-0.03370552460002846,-0.00865322155325111
100,at_least_2_missing_images,15281,9,-0.020869416908462373,-0.03362961492729932,-0.00888475404722608
100,at_least_4_missing_images,15101,9,-0.020904238907187737,-0.033757749918779514,-0.00891370893944033
2000,all_test_windows,15579,9,-0.0009845637473225055,-0.03121809932441016,0.026939625725864388
2000,at_least_2_missing_images,15281,9,0.00016964217551005556,-0.029236043182151516,0.027900737695731256
2000,at_least_4_missing_images,15101,9,0.0005224325129404978,-0.028870737767433336,0.02802104026790849
2025,all_test_windows,15579,9,0.00036269015055029037,-0.03095564052373359,0.03192188842335742
2025,at_least_2_missing_images,15281,9,0.0009965661635972056,-0.030404089511060963,0.032776040295862494
2025,at_least_4_missing_images,15101,9,0.001293606872108944,-0.030239923471852854,0.033024432245273856
2026,all_test_windows,15579,9,-0.00708292644575905,-0.030089130203073838,0.020035183358712547
2026,at_least_2_missing_images,15281,9,-0.007200460862710864,-0.03056045538251194,0.020208187203271905
2026,at_least_4_missing_images,15101,9,-0.006981736279095998,-0.030757017855932014,0.020377035572471818
2027,all_test_windows,15579,9,0.014613263911112522,-0.00594698087362118,0.03636496522466687
2027,at_least_2_missing_images,15281,9,0.014677878894634911,-0.006325386340557267,0.036575920457855876
2027,at_least_4_missing_images,15101,9,0.014932408931831457,-0.006429320401296906,0.03707756989504047
2048,all_test_windows,15579,9,-0.004037203275466414,-0.027417423982067722,0.01984155451752487
2048,at_least_2_missing_images,15281,9,-0.004131554839545684,-0.02789820416659298,0.01994538272589531
2048,at_least_4_missing_images,15101,9,-0.0040337228986587195,-0.027810384091410848,0.02018069137725147
4096,all_test_windows,15579,9,0.0012561451892153703,-0.04504198481808533,0.052448436012643776
4096,at_least_2_missing_images,15281,9,0.0014300712248190176,-0.045113932220830634,0.05285724157645803
4096,at_least_4_missing_images,15101,9,0.0017079872355919927,-0.04462871956988778,0.053404839125072684
7000,all_test_windows,15579,9,-0.00889902031003101,-0.02670228606778137,0.009422601206682632
7000,at_least_2_missing_images,15281,9,-0.009192475535530873,-0.02721410915462336,0.009591488293363686
7000,at_least_4_missing_images,15101,9,-0.009272488542964353,-0.027538238384127223,0.009490010814382173
8192,all_test_windows,15579,9,-0.03605466118840781,-0.07946547392532075,0.005541431510366667
8192,at_least_2_missing_images,15281,9,-0.036283268228609146,-0.08027599681993672,0.0059017195389138785
8192,at_least_4_missing_images,15101,9,-0.03609691276573028,-0.07979459631736759,0.006112607268422366
