model,metric,mean,ci_low,ci_high
residual_transformer_10fps_fixed_age_split_seed42,mae,0.2783354234792991,0.24923581242795112,0.3070965225160959
residual_transformer_10fps_fixed_age_split_seed42,rmse,0.3566406170959268,0.3208421492403753,0.38892341515188583
residual_transformer_10fps_fixed_age_split_seed42,r2,0.10642559631639162,-0.0700702305467878,0.22636274081216565
residual_transformer_10fps_fixed_age_split_seed42,gender_gap,0.030002851107962702,0.0,0.09224266987100518
residual_transformer_10fps_fixed_age_split_seed42,gender_worst_group_mae,0.290240565430055,0.2591288256303545,0.32415049346297997
residual_transformer_10fps_fixed_age_split_seed42,age_gap,0.10174282999178866,0.039028135154777016,0.17089781188270212
residual_transformer_10fps_fixed_age_split_seed42,age_worst_group_mae,0.32263612832285343,0.30336198329925534,0.3753094829672532
residual_transformer_10fps_fixed_age_split_seed100,mae,0.29495478814182013,0.2630955714327663,0.3231165674096008
residual_transformer_10fps_fixed_age_split_seed100,rmse,0.37354577208021206,0.33772293392835456,0.40558361747428257
residual_transformer_10fps_fixed_age_split_seed100,r2,0.024401737919586785,-0.19479048993529127,0.19490525715714746
residual_transformer_10fps_fixed_age_split_seed100,gender_gap,0.030203163012076196,0.00011729964454507693,0.09347352768204097
residual_transformer_10fps_fixed_age_split_seed100,gender_worst_group_mae,0.3083141900813823,0.273555702130254,0.32890230784944313
residual_transformer_10fps_fixed_age_split_seed100,age_gap,0.10574059254553636,0.039880956647245405,0.14110866046812878
residual_transformer_10fps_fixed_age_split_seed100,age_worst_group_mae,0.337130110713633,0.32790942668914796,0.35359195903908436
residual_transformer_10fps_fixed_age_split_seed2000,mae,0.2955424984988376,0.26979019014474237,0.3171415609498044
residual_transformer_10fps_fixed_age_split_seed2000,rmse,0.3786191011226598,0.3448906995067209,0.40661541631078757
residual_transformer_10fps_fixed_age_split_seed2000,r2,-0.0004322068687056859,-0.2663323211285006,0.15502004672462236
residual_transformer_10fps_fixed_age_split_seed2000,gender_gap,0.02857065154091488,0.00012452412310643714,0.07731227675473507
residual_transformer_10fps_fixed_age_split_seed2000,gender_worst_group_mae,0.30761927296785685,0.28606803925597396,0.34227323240163376
residual_transformer_10fps_fixed_age_split_seed2000,age_gap,0.08270149764383856,0.02781842154883547,0.12150621457385616
residual_transformer_10fps_fixed_age_split_seed2000,age_worst_group_mae,0.3268094609981094,0.2934505466769197,0.34423439537020895
residual_transformer_10fps_fixed_age_split_seed2025,mae,0.28266767090991635,0.2550436096331376,0.3099649165586023
residual_transformer_10fps_fixed_age_split_seed2025,rmse,0.3597445686349329,0.3331585708162083,0.38250494239823646
residual_transformer_10fps_fixed_age_split_seed2025,r2,0.08869133435905449,-0.20888972992956814,0.27974557358848867
residual_transformer_10fps_fixed_age_split_seed2025,gender_gap,0.03190037980341788,0.0,0.09629230061429657
residual_transformer_10fps_fixed_age_split_seed2025,gender_worst_group_mae,0.2971267844003161,0.26647076543625503,0.33112380144547443
residual_transformer_10fps_fixed_age_split_seed2025,age_gap,0.09919705281791263,0.020291717816094124,0.15622642700620692
residual_transformer_10fps_fixed_age_split_seed2025,age_worst_group_mae,0.31886570032491296,0.288749445878805,0.35033124749609035
residual_transformer_10fps_fixed_age_split_seed2026,mae,0.29511884736557303,0.26692595514429773,0.3205182757720306
residual_transformer_10fps_fixed_age_split_seed2026,rmse,0.3758222541908312,0.34044553379771414,0.40602798704530685
residual_transformer_10fps_fixed_age_split_seed2026,r2,0.0071872746558007935,-0.22853379093371123,0.1587228643595342
residual_transformer_10fps_fixed_age_split_seed2026,gender_gap,0.03151915596002187,0.00033916814286866784,0.08997455810193275
residual_transformer_10fps_fixed_age_split_seed2026,gender_worst_group_mae,0.3092233129520264,0.27604975080177124,0.34775094956767805
residual_transformer_10fps_fixed_age_split_seed2026,age_gap,0.10592363283434547,0.05854054267994803,0.1348920683408585
residual_transformer_10fps_fixed_age_split_seed2026,age_worst_group_mae,0.33823468943759044,0.296476278994294,0.34775094956767805
residual_transformer_10fps_fixed_age_split_seed2027,mae,0.27737576066773717,0.25177440654309324,0.3016204645303998
residual_transformer_10fps_fixed_age_split_seed2027,rmse,0.35070554576095864,0.3271987301244405,0.3724544212989141
residual_transformer_10fps_fixed_age_split_seed2027,r2,0.13523536352610568,-0.13127873155959566,0.2788069850260809
residual_transformer_10fps_fixed_age_split_seed2027,gender_gap,0.033053882651324085,0.0,0.08069756947850053
residual_transformer_10fps_fixed_age_split_seed2027,gender_worst_group_mae,0.2945548020442781,0.2622347134690045,0.32370261455068783
residual_transformer_10fps_fixed_age_split_seed2027,age_gap,0.08507503696822825,0.01531201804500379,0.1268968252994552
residual_transformer_10fps_fixed_age_split_seed2027,age_worst_group_mae,0.30677763991413576,0.2802949829905775,0.32370261455068783
residual_transformer_10fps_fixed_age_split_seed2048,mae,0.28051745145003393,0.24777499143275059,0.3098825349510553
residual_transformer_10fps_fixed_age_split_seed2048,rmse,0.35903935622983196,0.31811279523139296,0.39467517933716484
residual_transformer_10fps_fixed_age_split_seed2048,r2,0.10011663861920121,-0.08991793067369032,0.24937583735505406
residual_transformer_10fps_fixed_age_split_seed2048,gender_gap,0.02693054196472778,0.0,0.073740801555446
residual_transformer_10fps_fixed_age_split_seed2048,gender_worst_group_mae,0.2915709599999252,0.253399790155741,0.32786208934097216
residual_transformer_10fps_fixed_age_split_seed2048,age_gap,0.10160115877418295,0.04162598901975953,0.1468461910746121
residual_transformer_10fps_fixed_age_split_seed2048,age_worst_group_mae,0.3343966460193646,0.27468405908868826,0.378668270522742
residual_transformer_10fps_fixed_age_split_seed4096,mae,0.2853820589416779,0.25127235336933107,0.3189579938590552
residual_transformer_10fps_fixed_age_split_seed4096,rmse,0.3633975893888914,0.32585502655983634,0.39911032066170443
residual_transformer_10fps_fixed_age_split_seed4096,r2,0.07184131662653061,-0.19153768843473312,0.24330956668524556
residual_transformer_10fps_fixed_age_split_seed4096,gender_gap,0.0391822063064448,0.0001282692117508158,0.08666228588297743
residual_transformer_10fps_fixed_age_split_seed4096,gender_worst_group_mae,0.3069747669615931,0.2602165231163169,0.35274902781661677
residual_transformer_10fps_fixed_age_split_seed4096,age_gap,0.1129270115797809,0.04277207267985822,0.16528931383418602
residual_transformer_10fps_fixed_age_split_seed4096,age_worst_group_mae,0.33173201150101134,0.2878239525625795,0.36794723345221375
residual_transformer_10fps_fixed_age_split_seed7000,mae,0.2949283599332466,0.255171425377347,0.33924765771488113
residual_transformer_10fps_fixed_age_split_seed7000,rmse,0.3799815932787592,0.3296714114905975,0.43539250300658977
residual_transformer_10fps_fixed_age_split_seed7000,r2,-0.016859367957650046,-0.31346360480932955,0.21068963712354932
residual_transformer_10fps_fixed_age_split_seed7000,gender_gap,0.052111610599183074,0.0001154899198184137,0.13852365385347898
residual_transformer_10fps_fixed_age_split_seed7000,gender_worst_group_mae,0.3131217329324204,0.2652334647906433,0.36950091838573534
residual_transformer_10fps_fixed_age_split_seed7000,age_gap,0.14332003573420452,0.045129122168879314,0.20738599740843197
residual_transformer_10fps_fixed_age_split_seed7000,age_worst_group_mae,0.35967316533032867,0.29852943790202235,0.40357005832006604
residual_transformer_10fps_fixed_age_split_seed8192,mae,0.3301683201457367,0.286976222953385,0.3677742527037466
residual_transformer_10fps_fixed_age_split_seed8192,rmse,0.4095192010213708,0.3676535048509746,0.44480693145404565
residual_transformer_10fps_fixed_age_split_seed8192,r2,-0.1781069983406723,-0.49988909781891366,0.051841360355003266
residual_transformer_10fps_fixed_age_split_seed8192,gender_gap,0.040838902725026875,0.0008699480315381333,0.12677041065618286
residual_transformer_10fps_fixed_age_split_seed8192,gender_worst_group_mae,0.3481684563394978,0.3026827082953177,0.38730564983523624
residual_transformer_10fps_fixed_age_split_seed8192,age_gap,0.12417486713537113,0.016581506021000367,0.20361402127860445
residual_transformer_10fps_fixed_age_split_seed8192,age_worst_group_mae,0.3721891299542882,0.33088382092669094,0.4218879597221347
