metric,mean,std,min,median,max
test_mae,0.29206137245645175,0.015801749281338526,0.27757410631535473,0.2905187529297556,0.33125053889730466
test_rmse,0.37195250763840293,0.017396304254080334,0.35110984177367205,0.3692682486633012,0.411002456614944
test_r2,0.06610982032597358,0.0891994984679747,-0.13803469668312585,0.08119134516426296,0.1694750687376818
test_age_worst_group_mae,0.33252807416517227,0.018551052691671347,0.3012017324772848,0.33116697497945463,0.36233944285457426
test_age_gap,0.12317141111898063,0.019153925360215544,0.10060868790645558,0.12373555434444787,0.16263757639392637
test_gender_worst_group_mae,0.2976648221540223,0.01598251975867949,0.2824466115419663,0.29707150547739464,0.33396621475073957
test_gender_gap,0.013143842844389709,0.013672235309620284,0.0010343459530768873,0.008031180658201825,0.04816306535499498
