run_name,subject_id,samples,mae,true_mean,pred_mean
residual_transformer_10fps_fixed_age_split_seed42,group01_subject_08,1608,0.20441167108455108,2.878731343283582,2.8749292449868142
residual_transformer_10fps_fixed_age_split_seed42,group01_subject_10,1604,0.2312616417532847,2.8421134663341645,2.913067198899619
residual_transformer_10fps_fixed_age_split_seed42,group01_subject_15,1112,0.3753094829672532,2.6346672661870505,2.8294726655208806
residual_transformer_10fps_fixed_age_split_seed42,group01_subject_18,1848,0.2368027651722813,2.877840909090909,2.8609808878207104
residual_transformer_10fps_fixed_age_split_seed42,group02_subject_07,1046,0.265825205505692,3.003585086042065,3.028576434684301
residual_transformer_10fps_fixed_age_split_seed42,group02_subject_10,1315,0.27892134234932436,2.885171102661597,2.869822884331185
residual_transformer_10fps_fixed_age_split_seed42,group02_subject_16,2082,0.2968263837949916,2.8531460134486073,2.9486479270240644
residual_transformer_10fps_fixed_age_split_seed42,group02_subject_20,2450,0.30336198329925534,2.7929591836734695,2.763236389841352
residual_transformer_10fps_fixed_age_split_seed42,group03_subject_11,2514,0.30992797375104686,3.1620922832140015,2.916471651269978
residual_transformer_10fps_fixed_age_split_seed100,group01_subject_08,1608,0.21248329857095558,2.878731343283582,2.9538388648139895
residual_transformer_10fps_fixed_age_split_seed100,group01_subject_10,1604,0.2747594027447879,2.8421134663341645,3.0367683970422816
residual_transformer_10fps_fixed_age_split_seed100,group01_subject_15,1112,0.35359195903908436,2.6346672661870505,2.8491659651128507
residual_transformer_10fps_fixed_age_split_seed100,group01_subject_18,1848,0.2436756824518179,2.877840909090909,2.984357614537854
residual_transformer_10fps_fixed_age_split_seed100,group02_subject_07,1046,0.2412663021233524,3.003585086042065,2.913533066244472
residual_transformer_10fps_fixed_age_split_seed100,group02_subject_10,1315,0.31952105348101134,2.885171102661597,2.9176013897580337
residual_transformer_10fps_fixed_age_split_seed100,group02_subject_16,2082,0.30968867117802074,2.8531460134486073,3.028295616824162
residual_transformer_10fps_fixed_age_split_seed100,group02_subject_20,2450,0.32790942668914796,2.7929591836734695,2.8842498902885283
residual_transformer_10fps_fixed_age_split_seed100,group03_subject_11,2514,0.338406422542217,3.1620922832140015,2.872512338364418
residual_transformer_10fps_fixed_age_split_seed2000,group01_subject_08,1608,0.2227281807963528,2.878731343283582,2.8273316314860955
residual_transformer_10fps_fixed_age_split_seed2000,group01_subject_10,1604,0.29095648931446216,2.8421134663341645,3.023033106267601
residual_transformer_10fps_fixed_age_split_seed2000,group01_subject_15,1112,0.34423439537020895,2.6346672661870505,2.8758157178652373
residual_transformer_10fps_fixed_age_split_seed2000,group01_subject_18,1848,0.3097514430165807,2.877840909090909,2.9453225362868536
residual_transformer_10fps_fixed_age_split_seed2000,group02_subject_07,1046,0.27001339596042667,3.003585086042065,2.9932701872594043
residual_transformer_10fps_fixed_age_split_seed2000,group02_subject_10,1315,0.2760161448794173,2.885171102661597,2.8414536456191493
residual_transformer_10fps_fixed_age_split_seed2000,group02_subject_16,2082,0.2762877929680171,2.8531460134486073,2.905423026721599
residual_transformer_10fps_fixed_age_split_seed2000,group02_subject_20,2450,0.34227323240163376,2.7929591836734695,2.77395362094957
residual_transformer_10fps_fixed_age_split_seed2000,group03_subject_11,2514,0.30493410409397803,3.1620922832140015,2.9444716084828526
residual_transformer_10fps_fixed_age_split_seed2025,group01_subject_08,1608,0.19410482048988342,2.878731343283582,2.8718525771774464
