model,n_samples,mae,rmse,r2,tolerant_accuracy,tolerance,one_off_accuracy,binary_threshold,binary_accuracy,binary_f1,binary_roc_auc,binary_confusion_matrix,true_mean,pred_mean,age_worst_group_mae,age_gap,gender_worst_group_mae,gender_gap
train-mean constant baseline,15579,0.31246314282394716,0.39277647343438027,-0.03933990142495247,0.22241478913922588,0.15,1.0,3.0,0.539700879388921,0.0,0.5,"[[8408, 0], [7171, 0]]",2.895179408177675,2.971595232056809,,,,
ten-seed prediction ensemble (diagnostic),15579,0.27875463904706405,0.35498819638774026,0.15102579866277577,0.33988060851145774,0.15,0.9998074330829964,3.0,0.6553694075357853,0.5504479611487901,0.6868599421419475,"[[6923, 1485], [3884, 3287]]",2.895179408177675,2.9314349152048775,0.32312962635713943,0.12378318175332381,0.2793974662256923,0.0018638757892889823
