run_name,run_seed,best_epoch,num_epochs_run,val_mae,val_rmse,val_r2,val_true_mean,val_pred_mean,val_age_worst_group_mae,val_age_gap,val_gender_worst_group_mae,val_gender_gap,test_mae,test_rmse,test_r2,test_true_mean,test_pred_mean,test_age_worst_group_mae,test_age_gap,test_gender_worst_group_mae,test_gender_gap
residual_transformer_10fps_fixed_age_split_seed42,42,7,14,0.28074318394703485,0.37519309928348815,0.2045619781763972,2.9484869686898723,2.966105734570076,0.347762068663391,0.09897337643967782,0.2909722688179386,0.027776921250929287,0.2785683511057824,0.3579342408482642,0.13687606557747556,2.895179408177675,2.882832287808531,0.31924620311930435,0.11483453203475327,0.28425474725656363,0.0164876913517627
residual_transformer_10fps_fixed_age_split_seed100,100,4,11,0.30155135245025977,0.3946618853041902,0.11986957424288258,2.9484869686898723,3.002898325246455,0.3785994147366391,0.13236090853393523,0.3026522279940941,0.002989410457932662,0.2950980511026317,0.3741041533136308,0.05713019634108163,2.895179408177675,2.938644070046514,0.3369529460353864,0.12446964746443082,0.29709103598960024,0.005778654672265626
residual_transformer_10fps_fixed_age_split_seed2000,2000,8,15,0.29261698494026467,0.3821822494226032,0.17465089106110776,2.9484869686898723,2.9534329088858406,0.3550204237856901,0.10968066654040864,0.2969590133319103,0.006873108347495549,0.29564481819461846,0.37939909069778144,0.030251226328361414,2.895179408177675,2.8982160849705596,0.3271827525885345,0.10445457179218173,0.29846884754389474,0.00818826600267536
residual_transformer_10fps_fixed_age_split_seed2025,2025,10,17,0.29204818147465017,0.38307987520518605,0.17076936774028462,2.9484869686898723,2.982982167293501,0.35245958284259926,0.11628321427862984,0.30287389543103294,0.017136300882872213,0.2830752071653881,0.36065049141516375,0.12372640680590108,2.895179408177675,2.907249093445973,0.31710628171434835,0.12300146122446493,0.28453266587931103,0.004225897879063134
residual_transformer_10fps_fixed_age_split_seed2026,2026,4,11,0.28931400242244376,0.3834911959198391,0.16898768788439167,2.9484869686898723,2.984838763879733,0.37882861687332686,0.13722780079950347,0.3000888625982449,0.02925896562304714,0.2963743618451491,0.3779295187884266,0.037749164812988734,2.895179408177675,2.9188437643968768,0.34009579559781977,0.12723691437100024,0.29705197496518904,0.0010343459530768873
residual_transformer_10fps_fixed_age_split_seed2027,2027,3,10,0.28521680717919773,0.37820270377702947,0.19174961367605337,2.9484869686898723,2.988340751136832,0.3604688448222389,0.1199906183138012,0.29161959017923916,0.01738665789007454,0.27757410631535473,0.35110984177367205,0.1694750687376818,2.895179408177675,2.96753782532443,0.3012017324772848,0.1043959432260522,0.28566609359910183,0.012352054663285983
residual_transformer_10fps_fixed_age_split_seed2048,2048,7,14,0.29556633359759926,0.3938214358902034,0.12361413388344267,2.9484869686898723,2.9707078754252008,0.36990041575838656,0.11113799911658234,0.3073653358878438,0.03204000764407605,0.28030145430765363,0.3594956956040716,0.12932904442604154,2.895179408177675,2.9045611428727813,0.3336667579753843,0.10060868790645558,0.2824466115419663,0.006219878011047453
residual_transformer_10fps_fixed_age_split_seed4096,4096,5,12,0.28437809393389374,0.38211118075721173,0.17495781795797227,2.9484869686898723,2.999317188512048,0.36022716675449007,0.12911474821849453,0.28614258995020947,0.004791461554121468,0.28593945475687943,0.36443234401297164,0.1052524939874443,2.895179408177675,2.950358794355157,0.32866719198352495,0.12600927236549722,0.29977181724123775,0.021114479241996664
residual_transformer_10fps_fixed_age_split_seed7000,7000,6,13,0.2870848824710834,0.3850472950994468,0.16222997774756975,2.9484869686898723,2.9827937944297798,0.3773713530065075,0.13483775984942079,0.30000297709659984,0.03507888551650307,0.2967873808737552,0.38346724331510323,0.00934323292588557,2.895179408177675,2.9064820779824534,0.35882163730556044,0.16263757639392637,0.3133982127726183,0.04816306535499498
residual_transformer_10fps_fixed_age_split_seed8192,8192,2,9,0.3049359560693974,0.40307648670535373,0.08193888860330745,2.9484869686898723,3.055706451018554,0.4285789174195129,0.18359749869668612,0.32323275688446,0.04968467871740656,0.33125053889730466,0.411002456614944,-0.13803469668312585,2.895179408177675,3.0396240108454977,0.36233944285457426,0.144065504411044,0.33396621475073957,0.007874095313728291
