run_seed,model,attribute,attention_bin,gender,n_samples,n_subjects,window_mae,subject_balanced_mae,age_group
2000,subject_gender_gap,gender,"(3.0, 3.5]",male,785,3,0.4281621601930849,0.4277314737413336,
2000,subject_gender_gap,gender,"(3.5, 4.75]",female,495,6,0.7296032780348652,0.7366207437628335,
2000,subject_gender_gap,gender,"(3.5, 4.75]",male,268,3,0.8175334627948591,0.7203471466134191,
2000,subject_gender_gap,age_group,"(1.999, 2.5]",,1025,3,0.33871649742126464,0.3789875982708139,"(13.0, 20.0]"
2000,subject_gender_gap,age_group,"(1.999, 2.5]",,663,2,0.5325341666985421,0.5327035749389228,"(20.0, 22.0]"
2000,subject_gender_gap,age_group,"(1.999, 2.5]",,1892,3,0.3751824222205809,0.38343563536122366,"(22.0, 26.0]"
2000,subject_gender_gap,age_group,"(1.999, 2.5]",,205,1,0.35272443236374273,0.35272443236374273,"(26.0, 44.0]"
2000,subject_gender_gap,age_group,"(2.5, 3.0]",,2996,3,0.18812504040701525,0.1824427845106452,"(13.0, 20.0]"
2000,subject_gender_gap,age_group,"(2.5, 3.0]",,1717,2,0.17949906753535597,0.17464592372895021,"(20.0, 22.0]"
2000,subject_gender_gap,age_group,"(2.5, 3.0]",,2209,3,0.15496072028761484,0.1503578500052983,"(22.0, 26.0]"
2000,subject_gender_gap,age_group,"(2.5, 3.0]",,1211,1,0.10610475075530376,0.10610475075530376,"(26.0, 44.0]"
2000,subject_gender_gap,age_group,"(3.0, 3.5]",,772,3,0.2805808510805041,0.30002772551667833,"(13.0, 20.0]"
2000,subject_gender_gap,age_group,"(3.0, 3.5]",,512,2,0.3274574261158705,0.31571056382734763,"(20.0, 22.0]"
2000,subject_gender_gap,age_group,"(3.0, 3.5]",,1509,3,0.42964903861185505,0.41486444345905027,"(22.0, 26.0]"
2000,subject_gender_gap,age_group,"(3.0, 3.5]",,162,1,0.41639247794210177,0.41639247794210177,"(26.0, 44.0]"
2000,subject_gender_gap,age_group,"(3.5, 4.75]",,202,3,0.5119307584101611,0.6301861438486311,"(13.0, 20.0]"
2000,subject_gender_gap,age_group,"(3.5, 4.75]",,38,2,0.6650224296670211,0.6650224296670211,"(20.0, 22.0]"
2000,subject_gender_gap,age_group,"(3.5, 4.75]",,488,3,0.8758654179143124,0.8900599068181864,"(22.0, 26.0]"
