run_seed,attribute,n_samples,baseline_mae,candidate_mae,overall_mae_gain,baseline_worst_group_mae,candidate_worst_group_mae,worst_group_mae_gain,baseline_gap,candidate_gap,gap_reduction
42,gender,15894,0.29228015229194076,0.3102031894880405,-0.017923037196099723,0.29883499321222895,0.33263517636114065,-0.0338001831489117,0.019321706525790128,0.06612277436221325,-0.04680106783642313
42,age_group,15894,0.29228015229194076,0.3102031894880405,-0.017923037196099723,0.34340050795905014,0.40184425253625033,-0.058443744577200196,0.14981972472521837,0.20008283520054615,-0.05026311047532778
2025,gender,15894,0.2942041482537801,0.2900548363625966,0.004149311891183505,0.30645031076321216,0.29574138753597135,0.010708923227240819,0.03609801686292896,0.01676224858116071,0.01933576828176825
2025,age_group,15894,0.2942041482537801,0.2900548363625966,0.004149311891183505,0.3710743684000456,0.3675109584275996,0.0035634099724459745,0.17734691694432686,0.15950748786545524,0.01783942907887162
2026,gender,15894,0.3118257210121764,0.3014878799919214,0.010337841020255034,0.32442676013048616,0.31718668354690427,0.007240076583581889,0.03714408674822228,0.046275367897421704,-0.009131281149199422
2026,age_group,15894,0.3118257210121764,0.3014878799919214,0.010337841020255034,0.36969664976085187,0.3616431832988732,0.008053466461978687,0.1572604453992467,0.14340984596747855,0.01385059943176814
2027,gender,15894,0.309133020124751,0.29862759196414757,0.010505428160603458,0.33399281472711195,0.3094890109245447,0.024503803802567226,0.07327922392617292,0.03201620789253562,0.0412630160336373
2027,age_group,15894,0.309133020124751,0.29862759196414757,0.010505428160603458,0.356331408248899,0.34361553222147306,0.01271587602742591,0.14202362336252994,0.11927376988213592,0.022749853480394017
2028,gender,15894,0.2982511545286638,0.3023452232720133,-0.004094068743349499,0.3122367155392729,0.30999292389276345,0.002243791646509452,0.02116611185513434,0.022543129389132666,-0.001377017533998326
2028,age_group,15894,0.2982511545286638,0.3023452232720133,-0.004094068743349499,0.33519818615508273,0.36802401139047475,-0.032825825235392014,0.11277708944910622,0.16332791336318928,-0.050550823914083054
