run_seed,attribute,baseline_mae,candidate_mae,overall_mae_gain,baseline_worst_group_mae,candidate_worst_group_mae,worst_group_mae_gain,baseline_gap,candidate_gap,gap_reduction
42,gender,0.2800768563344247,0.30168995408336047,-0.021613097748935772,0.2803734951026734,0.3202059010610316,-0.039832405958358186,0.0008602084162346,0.05369349906210419,-0.05283329064586959
42,age_group,0.2800768563344247,0.30168995408336047,-0.021613097748935772,0.3142726490168385,0.38389253811822166,-0.06961988910138317,0.1206918657830067,0.18213112078251747,-0.06143925499951078
100,gender,0.2724017538845036,0.2978576234034121,-0.02545586951890849,0.2745700563271033,0.30599567912044773,-0.03142562279334443,0.0062877553769454,0.02359915415273911,-0.01731139877579371
100,age_group,0.2724017538845036,0.2978576234034121,-0.02545586951890849,0.3197193854204668,0.35746906612223583,-0.03774968070176904,0.1238252930805945,0.16509436207108505,-0.04126906899049054
2000,gender,0.2854535301861844,0.28813935844878097,-0.002685828262596557,0.2876090784875362,0.2978400979271069,-0.010231019439570721,0.0062507702596321,0.028130705208290918,-0.02187993494865882
2000,age_group,0.2854535301861844,0.28813935844878097,-0.002685828262596557,0.3478403357686899,0.3489531153106189,-0.0011127795419290099,0.1523364520166534,0.16767205863748974,-0.015335606620836328
2025,gender,0.2817644317395915,0.2793671307005093,0.0023973010390822003,0.2877712891419294,0.2795713528298345,0.008199936312094924,0.0174189952416461,0.0005922138750238393,0.01682678136662226
2025,age_group,0.2817644317395915,0.2793671307005093,0.0023973010390822003,0.342429748751289,0.34338349266183615,-0.0009537439105471446,0.1487022972955703,0.13538002209969177,0.01332227519587853
2026,gender,0.3001629137175563,0.28962221364286983,0.010540700074686493,0.3069425169865817,0.2994708237541881,0.007471693232393606,0.0196598436043178,0.028559508104705533,-0.008899664500387733
2026,age_group,0.3001629137175563,0.28962221364286983,0.010540700074686493,0.3422402779600119,0.3337633061620125,0.008476971797999389,0.1298040735984067,0.11552996883061786,0.014274104767788842
2027,gender,0.2959438096565125,0.2848232337262936,0.011120575930218923,0.3144874781521444,0.2886921835802161,0.025795294571928307,0.0537738873512053,0.01121938054820698,0.04255450680299832
2027,age_group,0.2959438096565125,0.2848232337262936,0.011120575930218923,0.3245096124559592,0.3101229023722282,0.014386710083730991,0.1102018275695901,0.08578114003289108,0.024420687536699015
2048,gender,0.2750773461891519,0.291320437740322,-0.016243091551170097,0.2805148226482578,0.29395912022666976,-0.013444297578411979,0.0082995296675691,0.007651787714490599,0.0006477419530785018
2048,age_group,0.2750773461891519,0.291320437740322,-0.016243091551170097,0.3327656014312014,0.34917304022423984,-0.016407438793038465,0.1240004039066972,0.11830650013252364,0.005693903774173559
4096,gender,0.2777625470095566,0.27971830420495297,-0.001955757195396368,0.281646068907957,0.2893085411543587,-0.007662472246401708,0.0112616373151686,0.027810264269456264,-0.016548626954287667
4096,age_group,0.2777625470095566,0.27971830420495297,-0.001955757195396368,0.3071391745526973,0.3305653644100726,-0.023426189857375324,0.1081117955930178,0.1278932586078807,-0.0197814630148629
7000,gender,0.2869252434896672,0.28242937508798005,0.004495868401687142,0.2946744812088802,0.28873551930977964,0.005938961899100537,0.0224716396471835,0.009625426693875283,0.012846212953308216
7000,age_group,0.2869252434896672,0.28242937508798005,0.004495868401687142,0.3249873435469915,0.32049708305401425,0.004490260492977238,0.1127681030485817,0.12292052179609672,-0.010152418747515018
8192,gender,0.2771319208257367,0.2828227268457108,-0.005690806019974126,0.2780414041496526,0.2912562349865745,-0.013214830836921876,0.0013881961394717,0.02445592234616928,-0.02306772620669758
8192,age_group,0.2771319208257367,0.2828227268457108,-0.005690806019974126,0.3289073192709663,0.31692931666926266,0.011978002601703619,0.1307663196903985,0.11114175656756023,0.01962456312283828
