run_seed,attribute,n_samples,baseline_mae,candidate_mae,overall_mae_gain,baseline_worst_group_mae,candidate_worst_group_mae,worst_group_mae_gain,baseline_gap,candidate_gap,gap_reduction,overall_mae_gain_ci_low,overall_mae_gain_ci_high,worst_group_mae_gain_ci_low,worst_group_mae_gain_ci_high,gap_reduction_ci_low,gap_reduction_ci_high
42,gender,15894,0.29228015229194076,0.3102031894880405,-0.017923037196099723,0.29883499321222895,0.33263517636114065,-0.0338001831489117,0.019321706525790128,0.06612277436221325,-0.04680106783642313,-0.08541616372616857,0.03137952736198419,-0.11868387968708771,0.04380338264553279,-0.1259377584116621,0.03799973209381993
42,age_group,15894,0.29228015229194076,0.3102031894880405,-0.017923037196099723,0.34340050795905014,0.40184425253625033,-0.058443744577200196,0.14981972472521837,0.20008283520054615,-0.05026311047532778,-0.08541616372616857,0.03137952736198419,-0.2091891696610907,0.08943877313855436,-0.2012587909208829,0.09761940724042678
2025,gender,15894,0.2942041482537801,0.2900548363625966,0.004149311891183505,0.30645031076321216,0.29574138753597135,0.010708923227240819,0.03609801686292896,0.01676224858116071,0.01933576828176825,-0.016403884986557427,0.024982086686380276,-0.028109337924073333,0.036021450294743906,-0.0424012506787851,0.05566700811609745
2025,age_group,15894,0.2942041482537801,0.2900548363625966,0.004149311891183505,0.3710743684000456,0.3675109584275996,0.0035634099724459745,0.17734691694432686,0.15950748786545524,0.01783942907887162,-0.016403884986557427,0.024982086686380276,-0.03021254881572688,0.04829598878668906,-0.04716255111357267,0.0625720078931147
2026,gender,15894,0.3118257210121764,0.3014878799919214,0.010337841020255034,0.32442676013048616,0.31718668354690427,0.007240076583581889,0.03714408674822228,0.046275367897421704,-0.009131281149199422,-0.009169076043108671,0.027982029791230933,-0.0174406541345265,0.034553919779258375,-0.038011323192916065,0.029589982176766276
2026,age_group,15894,0.3118257210121764,0.3014878799919214,0.010337841020255034,0.36969664976085187,0.3616431832988732,0.008053466461978687,0.1572604453992467,0.14340984596747855,0.01385059943176814,-0.009169076043108671,0.027982029791230933,-0.03327661641665597,0.03630088187443305,-0.04637408921735159,0.04194370702504846
2027,gender,15894,0.309133020124751,0.29862759196414757,0.010505428160603458,0.33399281472711195,0.3094890109245447,0.024503803802567226,0.07327922392617292,0.03201620789253562,0.0412630160336373,-0.00860356556452534,0.03153799813721989,-0.00914279077233382,0.04953481645295116,-0.007521744057104456,0.06572410575575625
2027,age_group,15894,0.309133020124751,0.29862759196414757,0.010505428160603458,0.356331408248899,0.34361553222147306,0.01271587602742591,0.14202362336252994,0.11927376988213592,0.022749853480394017,-0.00860356556452534,0.03153799813721989,-0.010452892492683835,0.069354005776118,-0.025179100377649765,0.07938798322908613
2028,gender,15894,0.2982511545286638,0.3023452232720133,-0.004094068743349499,0.3122367155392729,0.30999292389276345,0.002243791646509452,0.02116611185513434,0.022543129389132666,-0.001377017533998326,-0.03634437497818406,0.022738123292708447,-0.04702958091617402,0.02833837893804414,-0.0679446834182219,0.06578130340620353
2028,age_group,15894,0.2982511545286638,0.3023452232720133,-0.004094068743349499,0.33519818615508273,0.36802401139047475,-0.032825825235392014,0.11277708944910622,0.16332791336318928,-0.050550823914083054,-0.03634437497818406,0.022738123292708447,-0.07063892764374635,0.029123167012927574,-0.08758486511315693,0.023299918294520983
