model,n_samples,mae,rmse,r2,tolerant_accuracy,tolerance,one_off_accuracy,binary_threshold,binary_accuracy,binary_f1,binary_roc_auc,binary_confusion_matrix,true_mean,pred_mean,age_worst_group_mae,age_gap,gender_worst_group_mae,gender_gap,subject_gender_worst_group_mae,subject_gender_gap
unregularized residual Transformer,15636,0.2729341352357984,0.3492270020990173,0.1782302771559796,0.35642107955998975,0.15,0.9998720900486058,3.0,0.6572652852391916,0.5107276545238747,0.6911630133422896,"[[7480, 956], [4403, 2797]]",2.8952097723202863,2.8927954788874652,0.32103061633017776,0.12605994326986406,0.27585273307080105,0.008463500695122639,0.27364350136991356,0.012169516088947618
subject-level gender MAE-gap regularized residual Transformer,15636,0.27681268610043064,0.3538347231820502,0.15640226724282857,0.3528396009209516,0.15,0.9994883601944231,3.0,0.6601432591455615,0.5043835105390785,0.6813453091249144,"[[7618, 818], [4496, 2704]]",2.8952097723202863,2.876411943543625,0.3313641416162458,0.13622144093374935,0.2821535101396783,0.015487597306690915,0.27609637069500437,0.015100379708644196
