run_seed,model,attribute,attention_bin,groups_present,window_mae_gap,subject_balanced_mae_gap
7000,subject_gender_gap,gender,"(3.0, 3.5]",2,0.13235926540776388,0.14084680018908136
7000,subject_gender_gap,gender,"(3.5, 4.75]",2,0.11401611580022697,0.04881638518355902
7000,subject_gender_gap,age_group,"(1.999, 2.5]",4,0.10589271566354996,0.10264375580898127
7000,subject_gender_gap,age_group,"(2.5, 3.0]",4,0.0785997988014342,0.06675161969846091
7000,subject_gender_gap,age_group,"(3.0, 3.5]",4,0.21297743200668637,0.1906112232849489
7000,subject_gender_gap,age_group,"(3.5, 4.75]",4,0.2795535944724468,0.1748713012582379
8192,subject_gender_gap,gender,"(1.999, 2.5]",2,0.1618791099522941,0.05834136642031229
8192,subject_gender_gap,gender,"(2.5, 3.0]",2,0.03357905084655202,0.023158901589906994
8192,subject_gender_gap,gender,"(3.0, 3.5]",2,0.08843581507758747,0.10087134975026318
8192,subject_gender_gap,gender,"(3.5, 4.75]",2,0.08533527597337942,0.06359113810676131
8192,subject_gender_gap,age_group,"(1.999, 2.5]",4,0.1119545858829053,0.08923928312973511
8192,subject_gender_gap,age_group,"(2.5, 3.0]",4,0.07132042204059436,0.06747800119303293
8192,subject_gender_gap,age_group,"(3.0, 3.5]",4,0.13967025724564866,0.12820532340651158
8192,subject_gender_gap,age_group,"(3.5, 4.75]",4,0.3257064901327394,0.3246896378095779
