run_seed,attribute,attention_bin,window_mae_gap_baseline,window_mae_gap_subject_gender_gap,subject_balanced_mae_gap_baseline,subject_balanced_mae_gap_subject_gender_gap,window_gap_reduction,subject_balanced_gap_reduction
42,age_group,"(1.999, 2.5]",0.13461915013262388,0.09371018151865401,0.1366690506730716,0.15228452905092466,0.040908968613969865,-0.015615478377853043
42,age_group,"(2.5, 3.0]",0.07877421396753126,0.11270557012246615,0.07217104108259398,0.11400136348342246,-0.033931356154934894,-0.041830322400828485
42,age_group,"(3.0, 3.5]",0.09097709280337002,0.25224636661384503,0.10695415963484389,0.16562604839610695,-0.161269273810475,-0.05867188876126306
42,age_group,"(3.5, 4.75]",0.37743687942670046,0.2858407225068601,0.3154375407494534,0.2893872339666851,0.09159615691984035,0.026050306782768318
42,gender,"(1.999, 2.5]",0.16394067877041035,0.046620573120553566,0.050626118372100404,0.009689280443951565,0.11732010564985679,0.04093683792814884
42,gender,"(2.5, 3.0]",0.03892059381361018,0.08197759202819943,0.02832699705031913,0.08722630306419957,-0.04305699821458925,-0.05889930601388044
42,gender,"(3.0, 3.5]",0.11379571903083985,0.058076526822033014,0.10372939887703969,0.022369825123820797,0.055719192208806834,0.0813595737532189
42,gender,"(3.5, 4.75]",0.21489464110708445,0.11569204355785068,0.04995676600344234,0.10002220361484138,0.09920259754923377,-0.05006543761139903
2025,age_group,"(1.999, 2.5]",0.0872151228561075,0.10573320371076789,0.04170685880154601,0.10665026888925078,-0.01851808085466039,-0.06494341008770477
2025,age_group,"(2.5, 3.0]",0.07251146045163401,0.006770346129452348,0.06930257103254028,0.01096253129025776,0.06574111432218166,0.05834003974228252
2025,age_group,"(3.0, 3.5]",0.14546832763856088,0.17313970654252525,0.11123356984059479,0.1409926765789718,-0.027671378903964372,-0.029759106738377006
2025,age_group,"(3.5, 4.75]",0.33473356584994907,0.3836559918799042,0.3049722618196846,0.3304447634023113,-0.04892242602995511,-0.025472501582626705
2025,gender,"(1.999, 2.5]",0.1128488344262446,0.16532453810952064,0.0049730384595930155,0.06421987628711484,-0.05247570368327603,-0.059246837827521825
2025,gender,"(2.5, 3.0]",0.03732396458920623,0.0010628895598388532,0.03223351768472882,0.005065672569828927,0.03626107502936737,0.02716784511489989
2025,gender,"(3.0, 3.5]",0.0010969087177518655,0.12092233396975399,0.02065103431405574,0.16620099870670307,-0.11982542525200213,-0.14554996439264734
2025,gender,"(3.5, 4.75]",0.01731123903407683,0.09721894624562855,0.07724142025348268,0.043627910245453316,-0.07990770721155172,0.03361351000802937
