model,metric,mean,ci_low,ci_high
subject_gender_mae_gap_residual_transformer_lambda0p7_seed42,mae,0.2987986223928241,0.2457816072203648,0.37277436162689387
subject_gender_mae_gap_residual_transformer_lambda0p7_seed42,rmse,0.37909986411519436,0.3123105122622518,0.46463133908111376
subject_gender_mae_gap_residual_transformer_lambda0p7_seed42,r2,-0.01363399834249167,-0.44746988215307504,0.277964825956053
subject_gender_mae_gap_residual_transformer_lambda0p7_seed42,gender_gap,0.05969317942781622,0.0,0.16933388718344533
subject_gender_mae_gap_residual_transformer_lambda0p7_seed42,gender_worst_group_mae,0.319731974887304,0.25496298403597334,0.41774015342581844
subject_gender_mae_gap_residual_transformer_lambda0p7_seed42,age_gap,0.15253542701868963,0.038222767788503476,0.3002127850762635
subject_gender_mae_gap_residual_transformer_lambda0p7_seed42,age_worst_group_mae,0.37237942082824493,0.29191094551462426,0.5019742024119677
subject_gender_mae_gap_residual_transformer_lambda0p7_seed100,mae,0.2974603662994527,0.25604358973795305,0.3370003133174
subject_gender_mae_gap_residual_transformer_lambda0p7_seed100,rmse,0.3754165047557776,0.3261695289108735,0.425192227524063
subject_gender_mae_gap_residual_transformer_lambda0p7_seed100,r2,0.01379899621797133,-0.2785759958432244,0.242875757575493
subject_gender_mae_gap_residual_transformer_lambda0p7_seed100,gender_gap,0.04088795426316834,6.472935207082754e-05,0.1279001626632034
subject_gender_mae_gap_residual_transformer_lambda0p7_seed100,gender_worst_group_mae,0.31300122885513054,0.2687213007683724,0.3560038665451457
subject_gender_mae_gap_residual_transformer_lambda0p7_seed100,age_gap,0.13847147751348549,0.06061937527415362,0.2037888832393254
subject_gender_mae_gap_residual_transformer_lambda0p7_seed100,age_worst_group_mae,0.35483962055187035,0.32868771205931574,0.3961635872904762
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2000,mae,0.28871057216762197,0.24710926732385627,0.3270145204277582
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2000,rmse,0.3743626240475961,0.32541777813380246,0.4199805546711332
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2000,r2,0.02024733029986717,-0.2742754816585017,0.25101672010458587
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2000,gender_gap,0.039551212599086116,0.00010067480281160262,0.12665939221661346
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2000,gender_worst_group_mae,0.30393251757758377,0.25886529720737306,0.34679403419325794
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2000,age_gap,0.14461874613655903,0.07012328055554755,0.21668065427041422
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2000,age_worst_group_mae,0.3497162151421312,0.3019446649334647,0.3979617109435434
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2025,mae,0.2771524825380401,0.23372747923753912,0.323991400361028
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2025,rmse,0.36345722242521095,0.30427230047237763,0.4198407354722301
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2025,r2,0.076818044139573,-0.14527838446261762,0.26481326958779633
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2025,gender_gap,0.03684675120030605,0.0,0.09535702632030933
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2025,gender_worst_group_mae,0.2948929492891997,0.2413834397018562,0.3428852783287481
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2025,age_gap,0.1250914016478763,0.060686197606091355,0.19096656055396888
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2025,age_worst_group_mae,0.33847709568747997,0.29401274073508477,0.3989158891941695
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2026,mae,0.2884773257955885,0.2561258287178564,0.32706718652282896
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2026,rmse,0.3692836028429331,0.3315507246590782,0.414272080467766
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2026,r2,0.03989508707897659,-0.22930931640033222,0.22775725913295883
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2026,gender_gap,0.03511485584256712,0.00012491370541915241,0.09837456885772114
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2026,gender_worst_group_mae,0.3010686669604206,0.26191281318153437,0.34869670968011685
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2026,age_gap,0.10178729213933235,0.040319080366277425,0.16884777762998535
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2026,age_worst_group_mae,0.33158875869472465,0.2947880240560984,0.38708111496138
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2027,mae,0.2847821403147453,0.26580156111718095,0.301456023265179
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2027,rmse,0.36019931535826916,0.33999615339358763,0.37846653015767784
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2027,r2,0.08538669886820324,-0.20739501924808518,0.2633667631274123
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2027,gender_gap,0.02051962752779277,0.0,0.07073007286176172
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2027,gender_worst_group_mae,0.2926158760408007,0.27368181798805097,0.30679739307187054
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2027,age_gap,0.06876851300159613,0.02507659328234078,0.0998363620747855
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2027,age_worst_group_mae,0.3103232688845837,0.29638077315472316,0.32417812441412264
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2048,mae,0.2911118642627926,0.2548728620362474,0.32590415536639983
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2048,rmse,0.3751678232001614,0.32529692640087693,0.41915890069487355
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2048,r2,0.018654381972427175,-0.18419538974961205,0.18345274598126213
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2048,gender_gap,0.030045487813426322,0.0,0.08434041413709745
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2048,gender_worst_group_mae,0.30354856077440684,0.25900470096609135,0.3458731070373561
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2048,age_gap,0.10773141332917632,0.05133885113574676,0.15082277177759928
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2048,age_worst_group_mae,0.3459316895015724,0.28992153929941583,0.3816893118693155
subject_gender_mae_gap_residual_transformer_lambda0p7_seed4096,mae,0.2782228506228118,0.2454208855474621,0.3093877270677436
subject_gender_mae_gap_residual_transformer_lambda0p7_seed4096,rmse,0.35129990252953086,0.31513290979599384,0.38374361107918203
subject_gender_mae_gap_residual_transformer_lambda0p7_seed4096,r2,0.1334172199294762,-0.07320377860175026,0.2825527605810083
