run_name,run_seed,fairness_lambda,best_epoch,num_epochs_run,val_mae,val_rmse,val_r2,val_true_mean,val_pred_mean,val_age_worst_group_mae,val_age_gap,val_gender_worst_group_mae,val_gender_gap,val_subject_gender_worst_group_mae,val_subject_gender_gap,test_mae,test_rmse,test_r2,test_true_mean,test_pred_mean,test_age_worst_group_mae,test_age_gap,test_gender_worst_group_mae,test_gender_gap,test_subject_gender_worst_group_mae,test_subject_gender_gap
subject_gender_mae_gap_residual_transformer_lambda0p7_seed42,42,0.7,9,16,0.2915311961714914,0.38986641062647104,0.1408118302343514,2.9482362854486284,2.894567340515426,0.35438298174610955,0.1043550756003846,0.29156867551224647,0.0001017904822778748,0.28886492709589134,0.00034877469871563704,0.30168995408336047,0.38532424558789036,-0.0004310863865029102,2.8952097723202863,2.826870385018966,0.38389253811822166,0.18213112078251747,0.3202059010610316,0.05369349906210419,0.3010951929449393,0.040713151630604294
subject_gender_mae_gap_residual_transformer_lambda0p7_seed100,100,0.7,13,20,0.29193333231920643,0.3909576366732814,0.1359954079962189,2.9482362854486284,2.9196524213686037,0.34365636385112575,0.09208897077788897,0.294146608679149,0.006011057386662133,0.2915940220765254,0.006439167380885236,0.2978576234034121,0.37687068711145844,0.04298394534887651,2.8952097723202863,2.8552921724825695,0.35746906612223583,0.16509436207108505,0.30599567912044773,0.02359915415273911,0.29768453953741797,0.02194187026889849
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2000,2000,0.7,6,13,0.2954038238730446,0.3925256411213837,0.12905102490207587,2.9482362854486284,2.9359585399934716,0.3698044968902212,0.12095479027255118,0.2989316748624498,0.0055838171289261385,0.2981078524597048,0.00380376129759058,0.28813935844878097,0.3746377573243172,0.054290842367026415,2.8952097723202863,2.8929793618468866,0.3489531153106189,0.16767205863748974,0.2978400979271069,0.028130705208290918,0.29605719239442935,0.031511741283606565
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2025,2025,0.7,5,12,0.2899601648486752,0.3812631648841039,0.17831313149325045,2.9482362854486284,2.899143846353117,0.35497561556735746,0.11198628461402907,0.29141801174639603,0.003959379642673511,0.29209186348593313,0.010603852151127191,0.2793671307005093,0.3674783602172187,0.09009082535497881,2.8952097723202863,2.825567655945776,0.34338349266183615,0.13538002209969177,0.2795713528298345,0.0005922138750238393,0.27564981088064416,0.008587636234894114
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2026,2026,0.7,15,22,0.27459544515620826,0.37604584555653503,0.20064768073623063,2.9482362854486284,2.9630574117506012,0.3356414544415191,0.10913721924803932,0.2772779930571113,0.004245887074939281,0.27706592637958666,2.3156708616189903e-06,0.28962221364286983,0.3716504304324288,0.06931270618694085,2.8952097723202863,2.861856553264212,0.3337633061620125,0.11552996883061786,0.2994708237541881,0.028559508104705533,0.29190845786384767,0.023967072322429728
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2027,2027,0.7,16,23,0.29962405301924916,0.40809772064809363,0.05857660323071645,2.9482362854486284,2.9848280188123995,0.37685118014758456,0.13769964881678662,0.3026574153189707,0.004801149600221544,0.30444909923417,0.0013122111493689692,0.2848232337262936,0.3606194258321503,0.1237404995214002,2.8952097723202863,2.899947558302622,0.3101229023722282,0.08578114003289108,0.2886921835802161,0.01121938054820698,0.2888661419854909,0.014553734750847647
subject_gender_mae_gap_residual_transformer_lambda0p7_seed2048,2048,0.7,12,19,0.2974228614682322,0.4040892701868602,0.07697962749890996,2.9482362854486284,2.92329187011619,0.37871824264147325,0.1363967587023673,0.29796996256549013,0.0014858768436891157,0.29992877195172646,0.009503811128094009,0.291320437740322,0.3764194070738784,0.04527451173852792,2.8952097723202863,2.8552708323424536,0.34917304022423984,0.11830650013252364,0.29395912022666976,0.007651787714490599,0.28858424265072286,0.008076873383365268
subject_gender_mae_gap_residual_transformer_lambda0p7_seed4096,4096,0.7,20,27,0.2986266472238765,0.3995306149483747,0.09768790959432527,2.9482362854486284,2.942249966964562,0.35497622791269057,0.09631493602021973,0.30067356585553195,0.0032398248540772,0.29862354416493897,0.0006822979558607778,0.27971830420495297,0.35344302475353895,0.15826897498360448,2.8952097723202863,2.8803320618107606,0.3305653644100726,0.1278932586078807,0.2893085411543587,0.027810264269456264,0.2831838745224278,0.02867814808575636
subject_gender_mae_gap_residual_transformer_lambda0p7_seed7000,7000,0.7,10,17,0.28564714073358943,0.3810442995950584,0.17925624445065802,2.9482362854486284,2.965680555693774,0.35978923620658143,0.11874815671093752,0.2916663284245618,0.01634756656980002,0.2988724697316282,0.022832657775308907,0.28242937508798005,0.36165874658931885,0.11868238572214207,2.8952097723202863,2.936803770525799,0.32049708305401425,0.12292052179609672,0.28873551930977964,0.009625426693875283,0.2820858392642614,0.0007496540695239862
subject_gender_mae_gap_residual_transformer_lambda0p7_seed8192,8192,0.7,13,20,0.29092455762367037,0.3912598043228289,0.1346593290800785,2.9482362854486284,2.9687937408727247,0.3382166522477694,0.08265071142049957,0.2911349165846001,0.00033295226266366607,0.2936853282803982,0.002490772557083132,0.2828227268457108,0.36365949016893007,0.10890428439176314,2.8952097723202863,2.9291990838962065,0.31692931666926266,0.11114175656756023,0.2912562349865745,0.02445592234616928,0.2892262389353184,0.027199045725277926
