model_baseline,split_id,split_random_state,run_seed,best_epoch_baseline,num_epochs_run_baseline,val_subject_age_worst_group_mae,val_subject_age_gap,val_subject_gender_worst_group_mae_baseline,val_subject_gender_gap_baseline,test_subject_age_worst_group_mae,test_subject_age_gap,test_subject_gender_worst_group_mae_baseline,test_subject_gender_gap_baseline,model_path_baseline,val_prediction_path_baseline,test_prediction_path_baseline,val_mae_baseline,val_rmse_baseline,val_r2_baseline,val_true_mean_baseline,val_pred_mean_baseline,val_age_worst_group_mae_baseline,val_age_gap_baseline,val_gender_worst_group_mae_baseline,val_gender_gap_baseline,test_mae_baseline,test_rmse_baseline,test_r2_baseline,test_true_mean_baseline,test_pred_mean_baseline,test_age_worst_group_mae_baseline,test_age_gap_baseline,test_gender_worst_group_mae_baseline,test_gender_gap_baseline,model_candidate,fairness_lambda,best_epoch_candidate,num_epochs_run_candidate,model_path_candidate,val_prediction_path_candidate,test_prediction_path_candidate,val_mae_candidate,val_rmse_candidate,val_r2_candidate,val_true_mean_candidate,val_pred_mean_candidate,val_age_worst_group_mae_candidate,val_age_gap_candidate,val_gender_worst_group_mae_candidate,val_gender_gap_candidate,val_subject_gender_worst_group_mae_candidate,val_subject_gender_gap_candidate,test_mae_candidate,test_rmse_candidate,test_r2_candidate,test_true_mean_candidate,test_pred_mean_candidate,test_age_worst_group_mae_candidate,test_age_gap_candidate,test_gender_worst_group_mae_candidate,test_gender_gap_candidate,test_subject_gender_worst_group_mae_candidate,test_subject_gender_gap_candidate,overall_mae_gain,val_overall_mae_gain,val_worst_group_mae_gain,val_gap_reduction,val_subject_worst_group_mae_gain,val_subject_gap_reduction,worst_group_mae_gain,gap_reduction,subject_worst_group_mae_gain,subject_gap_reduction
unregularized,0,42,42,2,9,0.5053170744027353,0.2003556566479561,0.3643347834333498,0.0226239213443335,0.3250516232067518,0.0943195784024693,0.2910549359245852,0.0555806291869729,models/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split00_seed42.pt,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split00_seed42_val_predictions.csv,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split00_seed42_test_predictions.csv,0.3501803621642217,0.4502280471919369,-0.2000476765182117,2.8445863490994783,3.0153811837241937,0.507670520823829,0.2035027279022278,0.3573517266896646,0.0211991922605578,0.2808944826168864,0.3623754030304944,0.18056269688909,3.0553302079086837,3.0128002438698798,0.3253023238421563,0.0884210640059892,0.2913707232865301,0.0450687800116377,gender_regularized,0.7,8,15,models/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split00_lambda0p7_seed42.pt,results/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split00_lambda0p7_seed42_val_predictions.csv,results/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split00_lambda0p7_seed42_test_predictions.csv,0.3675926781286597,0.4649633885084404,-0.27988492399053144,2.8445863490994783,3.0775460494204694,0.5235298260134094,0.20213887100643302,0.37100221219995255,0.010078886387635655,0.38046307423586534,0.007033701046269936,0.27914758815213314,0.35935228238005573,0.1941779949322079,3.0553302079086833,3.061983352654135,0.32282093169344295,0.08565161528378354,0.28856669819377806,0.040521004791573,0.2896899483385452,0.04523219456746916,0.0017468944647532347,-0.017412315964437985,-0.013650485510287969,0.011120305872922145,-0.016128290802515544,0.015590220298063565,0.002804025092752016,0.0045477752200646995,0.0013649875860399785,0.010348434619503744
unregularized,1,43,100,4,11,0.3481537670503825,0.0619663194310813,0.3433276556223426,0.0363530036422581,0.3082220584233359,0.0713321020712535,0.3119780291773267,0.0841966313961365,models/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split01_seed100.pt,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split01_seed100_val_predictions.csv,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split01_seed100_test_predictions.csv,0.3284360092385542,0.4082626307719835,0.0314965967311716,2.866643487435258,2.9806089367172253,0.3726716588391582,0.0864908070619692,0.3339745596697947,0.0121071237647789,0.2938711252401222,0.3799574064636252,0.1211839295346953,2.9983442337941884,3.003266051585572,0.3143877358020356,0.068935643225914,0.3115062202519429,0.0818498799799354,gender_regularized,0.7,12,19,models/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split01_lambda0p7_seed100.pt,results/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split01_lambda0p7_seed100_val_predictions.csv,results/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split01_lambda0p7_seed100_test_predictions.csv,0.33079008606283766,0.42374335604279406,-0.043344414415368515,2.866643487435258,2.975177479057835,0.3825369092810509,0.08173149761364112,0.34217843558006233,0.02099088342023947,0.32966566045820966,0.0006843533296359006,0.30307088898787365,0.39339780335888797,0.05791080661766501,2.9983442337941884,2.982006124090562,0.3338429977481252,0.08777401406934529,0.32236507055545954,0.08955020908928721,0.32011153140616955,0.09321299723143303,-0.009199763747751444,-0.0023540768242834575,-0.00820387591026761,-0.00888375965546057,0.013661995164132912,0.0356686503126222,-0.010858850303516632,-0.007700329109351811,-0.008133502228842848,-0.009016365835296525
unregularized,2,47,2000,4,11,0.3656119211225039,0.0676891447732008,0.3571554428992289,0.0560927895253792,0.3810849681019301,0.1155519749150318,0.3440679033063168,0.0563883605593485,models/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split02_seed2000.pt,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split02_seed2000_val_predictions.csv,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split02_seed2000_test_predictions.csv,0.3361973076220141,0.4274836453076917,-0.0612702893402208,2.9912213121401345,3.025182189263525,0.3577067099992363,0.0616426680086824,0.3570879376079119,0.0600681726375437,0.2990946184422986,0.3931614396306567,0.1327671322456861,2.9579461385781305,3.019678625312793,0.3434121588923505,0.0813271341536566,0.320033969376907,0.0330144759259174,gender_regularized,0.7,9,16,models/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split02_lambda0p7_seed2000.pt,results/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split02_lambda0p7_seed2000_val_predictions.csv,results/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split02_lambda0p7_seed2000_test_predictions.csv,0.3509779212229463,0.44771582597176995,-0.16410429165790918,2.9912213121401345,3.0756696939043016,0.384002352281279,0.07317786898275858,0.3739953587579179,0.0661835192360346,0.38198524886628465,0.06986539317797114,0.3164117878221597,0.42460631719252045,-0.011502122016297411,2.9579461385781305,3.0842129459388845,0.38192778902669106,0.10217003297025068,0.33622554404781435,0.031239782931032245,0.36580335075798615,0.0573658806412235,-0.017317169379861053,-0.014780613600932191,-0.016907421150005986,-0.006115346598490903,-0.02482980596705575,-0.013772603652591933,-0.01619157467090737,0.0017746929948851548,-0.021735447451669332,-0.0009775200818750024
unregularized,3,49,2025,6,13,0.3727420219233411,0.1001657646923567,0.3298138370551882,0.0248920084636355,0.355164247706801,0.025329646946274,0.3489107499381297,0.0190035471182216,models/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split03_seed2025.pt,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split03_seed2025_val_predictions.csv,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split03_seed2025_test_predictions.csv,0.3173114134033503,0.4003309860428205,0.0657575955656387,2.8865016404681456,2.9756608421121507,0.3615496146758431,0.0843017421971876,0.3246524668980284,0.0190026180016251,0.3317938754991136,0.4277018202605097,-0.1735524388328106,2.926142156624751,2.8825653708142585,0.349658590782898,0.0485506487933412,0.3373775662041635,0.0090109909466358,gender_regularized,0.7,4,11,models/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split03_lambda0p7_seed2025.pt,results/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split03_lambda0p7_seed2025_val_predictions.csv,results/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split03_lambda0p7_seed2025_test_predictions.csv,0.28536509963162093,0.36635790738875396,0.21759376532598318,2.8865016404681456,2.9199305025979334,0.3198745824841721,0.08390426648139676,0.28888164957994017,0.005730247884984552,0.29687876567452226,0.01137183111723622,0.3221717837968428,0.4100952619474883,-0.0789213981632193,2.926142156624751,2.854158423656155,0.3496795074846598,0.07345003235077946,0.3241836774370695,0.005289631517455873,0.3362227432995204,0.013899188057133582,0.009622091702270796,0.03194631377172935,0.03577081731808823,0.01327237011664055,0.032935071380665926,0.013520177346399282,0.013193888767093986,0.0037213594291799264,0.012688006638609306,0.005104359061088016
unregularized,4,50,2026,3,10,0.449187789670779,0.1636567316754766,0.3869712018322148,0.0567533945405599,0.4086684340228863,0.1006193001220623,0.3546591368298313,0.0069968385000746,models/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split04_seed2026.pt,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split04_seed2026_val_predictions.csv,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split04_seed2026_test_predictions.csv,0.3327179450802885,0.4263558464398746,-0.0237276631538614,2.999916345992973,2.950485359242235,0.393608791303876,0.1071986286206809,0.3396922533934539,0.0107002350735517,0.3510566832396784,0.4469167105505745,-0.0373850468392693,2.940087287183476,3.028304273086352,0.4055425459029307,0.1064828912518875,0.3635281187005693,0.0192820657025611,gender_regularized,0.7,7,14,models/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split04_lambda0p7_seed2026.pt,results/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split04_lambda0p7_seed2026_val_predictions.csv,results/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split04_lambda0p7_seed2026_test_predictions.csv,0.34362356912457503,0.44421155969437826,-0.11127029517993914,2.999916345992973,2.93408542716904,0.36854871311771326,0.07847443389877096,0.34961686086602645,0.017211726000554872,0.37698725160612634,0.02803899750752198,0.33412156661578174,0.4286032129990682,0.04589177159134317,2.940087287183476,2.9856031511660506,0.39837824148187695,0.12466144505372262,0.35556983723160923,0.03316113566217793,0.34521218577313995,0.02593701486387129,0.016935116623896684,-0.010905624044286522,-0.009924607472572566,-0.006511490927003172,0.009983950226088445,0.028714397033037922,0.007958281468960049,-0.013879069959616831,0.009446951056691355,-0.01894017636379669
unregularized,5,53,2027,5,12,0.3336268419020021,0.0876763486229177,0.3035841076755031,0.0251153239505227,0.3392486389804494,0.056980118640066,0.3255639222376346,0.0079828494159621,models/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split05_seed2027.pt,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split05_seed2027_val_predictions.csv,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split05_seed2027_test_predictions.csv,0.2940596712505517,0.3871562881363772,0.0749256439688019,3.002855876062803,2.9253277851129806,0.344529712635513,0.1072003247444364,0.3039944162456053,0.035976387665314,0.3250398556368,0.421241141032852,0.0637554362209508,3.0076641395554247,2.8664003429506906,0.3466749965094079,0.0644028383838599,0.3296438218527177,0.0092398973350259,gender_regularized,0.7,15,22,models/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split05_lambda0p7_seed2027.pt,results/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split05_lambda0p7_seed2027_val_predictions.csv,results/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split05_lambda0p7_seed2027_test_predictions.csv,0.2956866940187989,0.3937726156832607,0.04303726066264635,3.002855876062803,2.985981033787432,0.3239014053078284,0.07087561023636968,0.30045212967093227,0.017256926121467564,0.3019328430108393,0.00024248783259744888,0.3325995457430362,0.4291585161874559,0.02823060294259372,3.0076641395554247,2.9437948958294284,0.35322587937422517,0.05975673337607851,0.3383976077476979,0.01155614617403855,0.33553944582340806,0.011730035353793133,-0.007559690106236194,-0.001627022768247166,0.003542286574673037,0.018719461543846433,0.0016512646646638096,0.024872836117925252,-0.008753785894980215,-0.002316248839012651,-0.009975523585773471,-0.0037471859378310334
unregularized,6,54,2048,2,9,0.4089981615552762,0.1109637841934579,0.3753551779786617,0.0534968440687496,0.4005168189721182,0.1205859299702384,0.3765853117253548,0.0696747735533206,models/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split06_seed2048.pt,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split06_seed2048_val_predictions.csv,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split06_seed2048_test_predictions.csv,0.3272880740416677,0.4164150010416065,-0.0364595607157556,3.040631578947369,3.043866845331694,0.3760726000021961,0.0798642221072751,0.3411077542833937,0.0199112718843115,0.355405568839595,0.4486668440056764,-0.2076215205447613,2.9021434702082485,3.1234829960656896,0.3933535598319209,0.1029305192934369,0.3628278980108088,0.0387885035087724,gender_regularized,0.7,6,13,models/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split06_lambda0p7_seed2048.pt,results/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split06_lambda0p7_seed2048_val_predictions.csv,results/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split06_lambda0p7_seed2048_test_predictions.csv,0.3236927205537495,0.42351503646940586,-0.07210494146261914,3.0406315789473686,2.904122483865838,0.3652334772908307,0.07898062724724497,0.33165457741319193,0.0260245114797355,0.32426604799011016,0.0033380990431248203,0.2926558250279566,0.37946211601753693,0.13618699443935722,2.9021434702082485,2.9650326316561397,0.33882388624330456,0.07296104057257596,0.3015502239431018,0.04648142322581916,0.31069320801907485,0.06394993567374727,0.06274974381163839,0.003595353487918229,0.009453176870201752,-0.006113239595424001,0.05108912998855153,0.05015874502562478,0.061277674067706955,-0.007692919717046762,0.06589210370627996,0.005724837879573327
unregularized,7,55,4096,6,13,0.3484805405400862,0.0664658199201435,0.3323154431457384,0.0384481119370361,0.4275854935993593,0.1500115051715882,0.3309247674094405,0.0126712589421692,models/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split07_seed4096.pt,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split07_seed4096_val_predictions.csv,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split07_seed4096_test_predictions.csv,0.3195662661647563,0.4093928877024697,0.1695087306327998,2.938930380852551,2.999003161518079,0.3532061920551169,0.0693660997198338,0.3351184183024234,0.043166696004852,0.3160883697416317,0.4030205915940707,-0.0471122715515546,2.987718722659668,2.967567850577654,0.4144964141289807,0.1304296471112833,0.320213577192307,0.0186552408155168,gender_regularized,0.7,9,16,models/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split07_lambda0p7_seed4096.pt,results/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split07_lambda0p7_seed4096_val_predictions.csv,results/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split07_lambda0p7_seed4096_test_predictions.csv,0.3361898699084168,0.4262916917890025,0.09953212959568103,2.938930380852551,3.0755505048358134,0.38890091730273535,0.09182894285168891,0.3497212068565943,0.03755770284464449,0.3521575383297198,0.0341849390330356,0.3082894382722943,0.3950327684903285,-0.006016310044115292,2.9877187226596678,3.063692327486457,0.38913097378830724,0.1090188192392445,0.3446788516643611,0.0467206958799577,0.3829123462257862,0.08728605981885545,0.007798931469337356,-0.01662360374366051,-0.014602788554170909,0.005608993160207507,-0.01984209518398139,0.004263172904000502,-0.0244652744720541,-0.028065455064440897,-0.05198757881634569,-0.07461480087668626
unregularized,8,56,7000,3,10,0.3969320855108648,0.1366270896670262,0.3108210634665138,0.0102321135671406,0.3833811175831567,0.0908544558511189,0.354646902078184,0.0431523982433176,models/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split08_seed7000.pt,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split08_seed7000_val_predictions.csv,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split08_seed7000_test_predictions.csv,0.2943957871767449,0.3821410733695112,0.0959631251664673,3.0318020426949546,3.057019976696295,0.3893097425051949,0.1290045375963663,0.2982034049631656,0.0061961041844364,0.3344587866669682,0.4270172241327534,0.0283374588907909,2.9169882100750266,3.0229808870644685,0.3614507398466375,0.0772472196716735,0.3400201913072218,0.0173817182411782,gender_regularized,0.7,16,23,models/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split08_lambda0p7_seed7000.pt,results/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split08_lambda0p7_seed7000_val_predictions.csv,results/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split08_lambda0p7_seed7000_test_predictions.csv,0.29265492211062066,0.390952523214258,0.053791711787712804,3.0318020426949546,3.0111851946158916,0.3782212197196886,0.10651176307334198,0.29289589088767015,0.0006251103833103122,0.2991753705681198,0.0002875992102039926,0.3298664162626604,0.4267139598701399,0.029717102947522167,2.9169882100750266,2.920680622241888,0.37963736734607,0.10240999654173583,0.3465294513586956,0.052078962028007714,0.3577088651918033,0.06793396277510028,0.004592370404307822,0.001740865066124253,0.005307514075495456,0.005570993801126088,0.011645692898393956,0.009944514356936607,-0.006509260051473842,-0.034697243786829514,-0.0030619631136192815,-0.02478156453178268
unregularized,9,57,8192,3,10,0.3523259826629724,0.0917755327093044,0.3315216362757073,0.0726221900817914,0.3474755576384374,0.1008943729865676,0.3336586095604293,0.0586016319326141,models/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split09_seed8192.pt,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split09_seed8192_val_predictions.csv,results/Multimodal Fusion Residual Transformer Repeated Subject Splits/residual_transformer_repeated_split09_seed8192_test_predictions.csv,0.2985739525112847,0.3885346511331912,0.0933754898139761,3.0434260248090035,3.0962219838881406,0.3461900542451152,0.0888401668205993,0.324931414771214,0.0822163710672954,0.3208939585929596,0.4136939036996002,0.0627851613538422,2.991055495103373,3.0178549356844533,0.3499757911090049,0.0781192269110067,0.329939017617948,0.0296786962438028,gender_regularized,0.7,4,11,models/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split09_lambda0p7_seed8192.pt,results/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split09_lambda0p7_seed8192_val_predictions.csv,results/Multimodal Fusion Subject Gender MAE Gap Repeated Subject Splits/subject_gender_mae_gap_repeated_split09_lambda0p7_seed8192_test_predictions.csv,0.31201638437420126,0.40220176259274054,0.028470749494035275,3.0434260248090035,3.032395283707575,0.3277147077828616,0.03565562881359391,0.3162282511513536,0.013138002377520941,0.3243580246994541,0.0028442909322715093,0.35574912359717104,0.45852231440926033,-0.151335419998192,2.991055495103373,2.9791694213257003,0.4500927545143301,0.16041826340925913,0.3993280969392024,0.06268245868234967,0.36587247180109117,0.02289368030426231,-0.03485516500421143,-0.013442431862916548,0.008703163619860399,0.06907836868977446,0.007163611576253226,0.06977789914951989,-0.06938907932125438,-0.03300376243854687,-0.03221386224066186,0.03570795162835179
