metric,mean,std,median,positive_rate
val_overall_mae_gain,-0.003986315648299254,0.01484526484574867,-0.0066298504342849895,0.3
val_worst_group_mae_gain,-5.122201389861636e-05,0.016112761457348787,-0.002330794667797287,0.5
val_gap_reduction,0.009574665640813853,0.0230070054295092,0.005589993480666798,0.6
val_subject_worst_group_mae_gain,0.006733052394519712,0.023541508252208538,0.008573780901170835,0.7
val_subject_gap_reduction,0.023873800889153807,0.02388235331033536,0.02023152820799441,0.9
overall_mae_gain,0.0034513360238144163,0.02568897787272564,0.0031696324345305282,0.6
worst_group_mae_gain,-0.005093395531767353,0.03275036386290009,-0.0076315229732270284,0.4
gap_reduction,-0.011731120127071556,0.01512457536444112,-0.007696624413199286,0.3
subject_worst_group_mae_gain,-0.003771582844929189,0.03133958455746932,-0.005597732671231065,0.4
subject_gap_reduction,-0.007519203043875132,0.028890806970441454,-0.002362353009853018,0.4
